instance,solver,time,val
500_150_4_00,LB,-,255980.58
500_150_4_00,BinP,822.22,255991.52
500_150_4_00,GH,0.01,308322.94
500_150_4_00,GH + TS,979.63,255991.52
500_150_4_00,GH + HC,462.49,255997.58
500_150_4_01,LB,-,255990.26
500_150_4_01,BinP,1276.64,255995.14
500_150_4_01,3Idx,3848.70,289525.44
500_150_4_01,GH,0.00,305995.9
500_150_4_01,GH + TS,757.7,255995.14
500_150_4_01,GH + HC,412.24,255995.14
500_150_4_02,LB,-,255993.88
500_150_4_02,BinP,1537.88,256013.4
500_150_4_02,3Idx,3289.08,288561.98
500_150_4_02,GH,0.00,307165.48
500_150_4_02,GH + TS,822.48,256013.4
500_150_4_02,GH + HC,376.79,256013.4
500_150_4_03,LB,-,255974.44
500_150_4_03,BinP,1227.00,255990.26
500_150_4_03,3Idx,3534.90,286120.98
500_150_4_03,GH,0.00,307650.28
500_150_4_03,GH + TS,1039.87,255996.32
500_150_4_03,GH + HC,619.33,255990.26
500_150_4_04,LB,-,255976.88
500_150_4_04,BinP,870.46,255986.64
500_150_4_04,3Idx,3489.87,283510.22
500_150_4_04,GH,0.00,307377.58
500_150_4_04,GH + TS,869.68,255986.64
500_150_4_04,GH + HC,406.99,255986.64
500_150_4_05,LB,-,255989.08
500_150_4_05,BinP,901.08,256000.02
500_150_4_05,3Idx,3374.36,283511.48
500_150_4_05,GH,0.00,307553.32
500_150_4_05,GH + TS,869.29,256000.02
500_150_4_05,GH + HC,395.27,256000.02
500_150_4_06,LB,-,255976.88
500_150_4_06,BinP,754.69,255992.7
500_150_4_06,3Idx,3693.29,282710.38
500_150_4_06,GH,0.00,309837.94
500_150_4_06,GH + TS,1081.38,256001.2
500_150_4_06,GH + HC,459.26,256001.2
500_150_4_07,LB,-,255980.58
500_150_4_07,BinP,894.68,255989.08
500_150_4_07,3Idx,3366.77,287038.48
500_150_4_07,GH,0.00,306450.4
500_150_4_07,GH + TS,1026.91,255991.52
500_150_4_07,GH + HC,565.79,255989.08
500_150_4_08,LB,-,256012.06
500_150_4_08,BinP,770.02,256029.06
500_150_4_08,GH,0.00,308565.34
500_150_4_08,GH + TS,1515.73,256029.06
500_150_4_08,GH + HC,407.15,256029.06
500_150_4_09,LB,-,255991.44
500_150_4_09,BinP,806.56,256009.7
500_150_4_09,3Idx,3217.55,287453.0
500_150_4_09,GH,0.00,306759.46
500_150_4_09,GH + TS,929.97,256016.94
500_150_4_09,GH + HC,631.47,256009.7
500_150_4_10,LB,-,256020.56
500_150_4_10,BinP,1083.64,256033.94
500_150_4_10,3Idx,3618.37,288185.08
500_150_4_10,GH,0.00,306401.92
500_150_4_10,GH + TS,940.19,256033.94
500_150_4_10,GH + HC,534.7,256037.64
500_150_4_11,LB,-,255963.5
500_150_4_11,BinP,1372.24,255975.7
500_150_4_11,3Idx,3276.38,281512.86
500_150_4_11,GH,0.00,304329.4
500_150_4_11,GH + TS,1186.06,255975.7
500_150_4_11,GH + HC,393.55,255978.14
500_150_4_12,LB,-,255981.76
500_150_4_12,BinP,906.06,255995.14
500_150_4_12,GH,0.00,305080.84
500_150_4_12,GH + TS,1133.95,255997.58
500_150_4_12,GH + HC,432.03,255997.58
500_150_4_13,LB,-,255987.82
500_150_4_13,BinP,1223.81,255997.58
500_150_4_13,3Idx,3681.17,284730.72
500_150_4_13,GH,0.00,309977.32
500_150_4_13,GH + TS,983.75,255997.58
500_150_4_13,GH + HC,566.31,255997.58
500_150_4_14,LB,-,255993.88
500_150_4_14,BinP,778.54,256009.7
500_150_4_14,GH,0.00,310074.28
500_150_4_14,GH + TS,1030.13,256009.7
500_150_4_14,GH + HC,412.35,256009.7
500_150_4_15,LB,-,255985.38
500_150_4_15,BinP,681.67,255993.88
500_150_4_15,GH,0.00,305977.72
500_150_4_15,GH + TS,991.05,255993.88
500_150_4_15,GH + HC,459.33,255993.88
500_150_4_16,LB,-,256002.3
500_150_4_16,BinP,1106.33,256013.24
500_150_4_16,3Idx,3406.40,290473.24
500_150_4_16,GH,0.00,306614.02
500_150_4_16,GH + TS,1170.53,256013.24
500_150_4_16,GH + HC,742.87,256013.24
500_150_4_17,LB,-,255970.82
500_150_4_17,BinP,1083.30,255986.64
500_150_4_17,3Idx,3599.21,284638.56
500_150_4_17,GH,0.00,308783.5
500_150_4_17,GH + TS,980.31,255986.64
500_150_4_17,GH + HC,395.56,255986.64
500_150_4_18,LB,-,256004.82
500_150_4_18,BinP,706.71,256012.14
500_150_4_18,GH,0.00,306838.24
500_150_4_18,GH + TS,1138.19,256015.76
500_150_4_18,GH + HC,381.7,256018.2
500_150_4_19,LB,-,255998.76
500_150_4_19,BinP,751.54,256020.64
500_150_4_19,3Idx,3748.31,288085.6
500_150_4_19,GH,0.00,308347.18
500_150_4_19,GH + TS,1145.94,256020.64
500_150_4_19,GH + HC,409.98,256029.14
