instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_101_6_00,LB,1800.0,-,297975.2,-,-,-,-,-
500_101_6_00,BinP,1800.0,901.49,297980.08
500_101_6_00,GH,1800.0,0.01,327893.2
500_101_6_00,GH + TS,1800.0,408.47,297982.52,29911.0,9.0,16.832,87,437
500_101_6_00,GH + HC,1800.0,320.18,297982.52,29911.0,9.0,77.704,339,689
500_101_6_01,LB,1800.0,-,297964.34,-,-,-,-,-
500_101_6_01,BinP,1800.0,611.82,297966.78
500_101_6_01,GH,1800.0,0.00,329711.2
500_101_6_01,GH + TS,1800.0,349.44,297969.22,31742.0,10.0,42.746,184,534
500_101_6_01,GH + HC,1800.0,230.83,297969.22,31742.0,10.0,32.462,163,513
500_101_6_02,LB,1800.0,-,297965.52,-,-,-,-,-
500_101_6_02,BinP,1800.0,569.61,297967.96
500_101_6_02,GH,1800.0,0.00,328414.36
500_101_6_02,GH + TS,1800.0,583.83,297970.4,30444.0,9.0,123.79,330,680
500_101_6_02,GH + HC,1800.0,187.74,297972.84,30442.0,9.0,16.773,78,428
500_101_6_03,LB,1800.0,-,297950.96,-,-,-,-,-
500_101_6_03,BinP,1800.0,539.31,297960.72
500_101_6_03,GH,1800.0,0.00,330147.52
500_101_6_03,GH + TS,1800.0,318.0,297963.16,32184.0,10.0,21.764,106,456
500_101_6_03,GH + HC,1800.0,213.55,297960.72,32187.0,10.0,29.166,164,514
500_101_6_04,LB,1800.0,-,297955.84,-,-,-,-,-
500_101_6_04,BinP,1800.0,522.76,297960.72
500_101_6_04,GH,1800.0,0.00,328444.66
500_101_6_04,GH + TS,1800.0,337.94,297960.72,30484.0,9.0,17.763,125,475
500_101_6_04,GH + HC,1800.0,186.77,297960.72,30484.0,9.0,13.312,59,409
500_101_6_05,LB,1800.0,-,297964.34,-,-,-,-,-
500_101_6_05,BinP,1800.0,996.82,297964.34
500_101_6_05,GH,1800.0,0.00,329553.64
500_101_6_05,GH + TS,1800.0,449.84,297969.22,31584.0,10.0,38.889,147,497
500_101_6_05,GH + HC,1800.0,235.74,297975.28,31578.0,10.0,40.621,213,563
500_101_6_06,LB,1800.0,-,297981.26,-,-,-,-,-
500_101_6_06,BinP,1800.0,500.35,297986.14
500_101_6_06,GH,1800.0,0.00,327796.24
500_101_6_06,GH + TS,1800.0,854.32,297986.14,29810.0,9.0,274.317,739,1089
500_101_6_06,GH + HC,1800.0,214.06,297988.58,29808.0,9.0,26.977,165,515
500_101_6_07,LB,1800.0,-,297953.4,-,-,-,-,-
500_101_6_07,BinP,1800.0,619.40,297953.4
500_101_6_07,GH,1800.0,0.00,328547.68
500_101_6_07,GH + TS,1800.0,333.98,297955.84,30592.0,9.0,25.242,186,536
500_101_6_07,GH + HC,1800.0,196.91,297955.84,30592.0,9.0,18.693,118,468
500_101_6_08,LB,1800.0,-,297960.64,-,-,-,-,-
500_101_6_08,BinP,1800.0,727.41,297970.4
500_101_6_08,GH,1800.0,0.00,330395.98
500_101_6_08,GH + TS,1800.0,391.56,297970.4,32426.0,10.0,56.551,256,606
500_101_6_08,GH + HC,1800.0,241.3,297970.4,32426.0,10.0,37.671,224,574
500_101_6_09,LB,1800.0,-,297971.58,-,-,-,-,-
500_101_6_09,BinP,1800.0,536.27,297974.02
500_101_6_09,GH,1800.0,0.00,330208.12
500_101_6_09,GH + TS,1800.0,433.29,297984.96,32223.0,10.0,30.016,153,503
500_101_6_09,GH + HC,1800.0,458.44,297984.96,32223.0,10.0,150.191,711,1061
500_101_6_10,LB,1800.0,-,297957.02,-,-,-,-,-
500_101_6_10,BinP,1800.0,516.55,297967.96
500_101_6_10,GH,1800.0,0.00,330432.34
500_101_6_10,GH + TS,1800.0,339.74,297967.96,32464.0,10.0,27.453,157,507
500_101_6_10,GH + HC,1800.0,261.93,297967.96,32464.0,10.0,62.336,332,682
500_101_6_11,LB,1800.0,-,297961.9,-,-,-,-,-
500_101_6_11,BinP,1800.0,596.15,297966.78
500_101_6_11,GH,1800.0,0.00,328905.22
500_101_6_11,GH + TS,1800.0,353.65,297972.84,30932.0,9.0,31.741,170,520
500_101_6_11,GH + HC,1800.0,194.41,297972.84,30932.0,9.0,20.32,127,477
500_101_6_12,LB,1800.0,-,297959.46,-,-,-,-,-
500_101_6_12,BinP,1800.0,517.72,297976.46
500_101_6_12,GH,1800.0,0.00,328153.78
500_101_6_12,GH + TS,1800.0,686.6,297976.46,30177.0,9.0,172.855,403,753
500_101_6_12,GH + HC,1800.0,216.91,297976.46,30177.0,9.0,27.338,177,527
500_101_6_13,LB,1800.0,-,297963.08,-,-,-,-,-
500_101_6_13,BinP,1800.0,1039.99,297975.28
500_101_6_13,GH,1800.0,0.00,329365.78
500_101_6_13,GH + TS,1800.0,361.27,297975.28,31391.0,10.0,53.879,181,531
500_101_6_13,GH + HC,1800.0,242.37,297975.28,31391.0,10.0,42.372,265,615
