instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
1000_151_7_00,LB,1800.0,-,1291110.32,-,-,-,-,-
1000_151_7_00,BinP,1800.0,1828.41,1301621.27
1000_151_7_00,GH,1800.0,0.02,1332844.82
1000_151_7_00,GH + TS,1800.0,1319.17,1291113.94,41731.0,3.0,275.977,259,609
1000_151_7_00,GH + HC,1800.0,989.56,1291113.94,41731.0,3.0,92.693,89,439
1000_151_7_01,LB,1800.0,-,1291098.12,-,-,-,-,-
1000_151_7_01,BinP,1800.0,1809.94,1305059.73
1000_151_7_01,GH,1800.0,0.01,1336862.59
1000_151_7_01,GH + TS,1800.0,1354.95,1291115.12,45747.0,3.0,204.731,173,523
1000_151_7_01,GH + HC,1800.0,1040.83,1291105.44,45757.0,3.0,131.367,131,481
1000_151_7_02,LB,1800.0,-,1291095.68,-,-,-,-,-
1000_151_7_02,BinP,1800.0,1811.77,1303023.57
1000_151_7_02,GH,1800.0,0.01,1337504.97
1000_151_7_02,GH + TS,1800.0,1878.19,1291098.12,46407.0,3.0,522.577,446,796
1000_151_7_02,GH + HC,1800.0,949.07,1291098.13,46407.0,3.0,119.523,165,515
1000_151_7_03,LB,1800.0,-,1291105.44,-,-,-,-,-
1000_151_7_03,BinP,1800.0,1809.67,1301072.25
1000_151_7_03,GH,1800.0,0.01,1333384.14
1000_151_7_03,GH + TS,1800.0,1323.05,1291109.06,42275.0,3.0,146.033,157,507
1000_151_7_03,GH + HC,1800.0,848.95,1291141.81,42242.0,3.0,98.684,150,500
1000_151_7_04,LB,1800.0,-,1291127.24,-,-,-,-,-
1000_151_7_04,BinP,1800.0,1811.10,1300235.98
1000_151_7_04,GH,1800.0,0.01,1335008.24
1000_151_7_04,GH + TS,1800.0,1618.82,1291135.74,43873.0,3.0,232.079,168,518
1000_151_7_04,GH + HC,1800.0,1001.2,1291129.68,43879.0,3.0,141.474,127,477
1000_151_7_05,LB,1800.0,-,1291105.44,-,-,-,-,-
1000_151_7_05,BinP,1800.0,1828.83,1302447.87
1000_151_7_05,GH,1800.0,0.00,1335644.52
1000_151_7_05,GH + TS,1800.0,1092.84,1291113.94,44531.0,3.0,121.486,129,479
1000_151_7_05,GH + HC,1800.0,974.05,1291105.44,44539.0,3.0,87.085,100,450
1000_151_7_06,LB,1800.0,-,1291101.74,-,-,-,-,-
1000_151_7_06,BinP,1800.0,1809.51,1296403.62
1000_151_7_06,GH,1800.0,0.00,1335414.26
1000_151_7_06,GH + TS,1800.0,1358.49,1291109.06,44305.0,3.0,268.07,268,618
1000_151_7_06,GH + HC,1800.0,1161.17,1291109.06,44305.0,3.0,205.056,225,575
1000_151_7_07,LB,1800.0,-,1291105.36,-,-,-,-,-
1000_151_7_07,BinP,1800.0,1811.23,1303287.76
1000_151_7_07,GH,1800.0,0.00,1338935.11
1000_151_7_07,GH + TS,1800.0,1738.46,1291112.68,47822.0,4.0,347.608,301,651
1000_151_7_07,GH + HC,1800.0,1013.1,1291112.68,47822.0,4.0,130.175,203,553
1000_151_7_08,LB,1800.0,-,1291104.18,-,-,-,-,-
1000_151_7_08,BinP,1800.0,1814.25,1306635.33
1000_151_7_08,GH,1800.0,0.01,1337123.16
1000_151_7_08,GH + TS,1800.0,1437.78,1291112.68,46010.0,3.0,225.239,238,588
1000_151_7_08,GH + HC,1800.0,1269.56,1291121.18,46002.0,3.0,259.082,284,634
1000_151_7_09,LB,1800.0,-,1291106.62,-,-,-,-,-
1000_151_7_09,BinP,1800.0,1812.10,1300397.14
1000_151_7_09,GH,1800.0,0.00,1336195.99
1000_151_7_09,GH + TS,1800.0,1333.97,1291112.68,45083.0,3.0,155.456,173,523
1000_151_7_09,GH + HC,1800.0,1107.85,1291115.12,45081.0,3.0,199.323,194,544
1000_151_7_10,LB,1800.0,-,1291105.36,-,-,-,-,-
1000_151_7_10,BinP,1800.0,1809.73,1303459.88
1000_151_7_10,GH,1800.0,0.00,1336638.35
1000_151_7_10,GH + TS,1800.0,1276.85,1291107.8,45531.0,3.0,102.828,160,510
1000_151_7_10,GH + HC,1800.0,880.03,1291107.8,45531.0,3.0,123.551,188,538
1000_151_7_11,LB,1800.0,-,1291103.0,-,-,-,-,-
1000_151_7_11,BinP,1800.0,1813.45,1300199.62
1000_151_7_11,GH,1800.0,0.00,1334887.04
1000_151_7_11,GH + TS,1800.0,1666.67,1291111.51,43776.0,3.0,371.199,348,698
1000_151_7_11,GH + HC,1800.0,1223.51,1291111.5,43776.0,3.0,256.95,301,651
1000_151_7_12,LB,1800.0,-,1291109.06,-,-,-,-,-
1000_151_7_12,BinP,1800.0,1810.81,1302884.19
1000_151_7_12,GH,1800.0,0.10,1337244.36
1000_151_7_12,GH + TS,1800.0,1132.76,1291117.56,46127.0,3.0,117.788,152,502
1000_151_7_12,GH + HC,1800.0,1020.41,1291117.56,46127.0,3.0,165.275,188,538
1000_151_7_13,LB,1800.0,-,1291107.8,-,-,-,-,-
1000_151_7_13,BinP,1800.0,1810.35,1298991.24
1000_151_7_13,GH,1800.0,0.01,1336426.26
1000_151_7_13,GH + TS,1800.0,1295.91,1291115.13,45311.0,3.0,128.199,183,533
1000_151_7_13,GH + HC,1800.0,949.93,1291115.13,45311.0,3.0,109.144,122,472
1000_151_7_14,LB,1800.0,-,1291096.86,-,-,-,-,-
1000_151_7_14,BinP,1800.0,1810.32,1301681.87
1000_151_7_14,GH,1800.0,0.01,1329196.72
1000_151_7_14,GH + TS,1800.0,1495.3,1291099.3,38097.0,3.0,249.878,271,621
1000_151_7_14,GH + HC,1800.0,1100.58,1291099.3,38097.0,3.0,172.042,215,565
1000_151_7_15,LB,1800.0,-,1291111.42,-,-,-,-,-
1000_151_7_15,BinP,1800.0,1810.85,1300846.78
1000_151_7_15,GH,1800.0,0.00,1333341.73
1000_151_7_15,GH + TS,1800.0,1327.97,1291130.87,42211.0,3.0,251.197,211,561
1000_151_7_15,GH + HC,1800.0,1028.96,1291118.74,42223.0,3.0,126.771,140,490
1000_151_7_16,LB,1800.0,-,1291098.12,-,-,-,-,-
1000_151_7_16,BinP,1800.0,1812.46,1298815.5
1000_151_7_16,GH,1800.0,0.01,1334135.61
1000_151_7_16,GH + TS,1800.0,1223.01,1291106.62,43029.0,3.0,168.814,208,558
1000_151_7_16,GH + HC,1800.0,1370.44,1291109.06,43027.0,3.0,339.403,390,740
1000_151_7_17,LB,1800.0,-,1291118.74,-,-,-,-,-
1000_151_7_17,BinP,1800.0,1812.34,1304362.82
1000_151_7_17,GH,1800.0,0.01,1332178.21
1000_151_7_17,GH + TS,1800.0,1337.14,1291129.69,41049.0,3.0,83.076,125,475
1000_151_7_17,GH + HC,1800.0,1777.92,1291127.24,41051.0,3.0,525.01,580,930
1000_151_7_18,LB,1800.0,-,1291101.74,-,-,-,-,-
1000_151_7_18,BinP,1800.0,1813.93,1298500.39
1000_151_7_18,GH,1800.0,0.00,1335650.6
1000_151_7_18,GH + TS,1800.0,1253.05,1291101.74,44549.0,3.0,150.811,167,517
1000_151_7_18,GH + HC,1800.0,1052.72,1291101.74,44549.0,3.0,165.81,165,515
1000_151_7_19,LB,1800.0,-,1291101.74,-,-,-,-,-
1000_151_7_19,BinP,1800.0,1810.66,1302176.34
1000_151_7_19,GH,1800.0,0.01,1334608.29
1000_151_7_19,GH + TS,1800.0,1425.74,1291106.62,43502.0,3.0,204.011,211,561
1000_151_7_19,GH + HC,1800.0,824.49,1291106.62,43502.0,3.0,73.872,96,446
