instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
750_130_7_00,LB,3600.0,-,692241.14,-,-,-,-,-
750_130_7_00,BinP,3600.0,1784.24,692248.46
750_130_7_00,GH,3600.0,0.01,747830.98
750_130_7_00,GH + TS,3600.0,985.38,692256.97,55574.0,7.0,55.78,99,449
750_130_7_00,GH + HC,3600.0,928.07,692256.96,55574.0,7.0,231.214,410,760
750_130_7_01,LB,3600.0,-,692241.14,-,-,-,-,-
750_130_7_01,BinP,3600.0,1846.44,692254.52
750_130_7_01,GH,3600.0,0.00,748376.37
750_130_7_01,GH + TS,3600.0,968.33,692260.58,56116.0,7.0,183.227,229,579
750_130_7_01,GH + HC,3600.0,733.29,692260.58,56116.0,7.0,164.52,299,649
750_130_7_02,LB,3600.0,-,692236.26,-,-,-,-,-
750_130_7_02,BinP,3600.0,2311.00,692243.58
750_130_7_02,GH,3600.0,0.01,751400.31
750_130_7_02,GH + TS,3600.0,886.6,692249.65,59151.0,8.0,105.808,181,531
750_130_7_02,GH + HC,3600.0,570.56,692249.65,59151.0,8.0,76.636,168,518
750_130_7_03,LB,3600.0,-,692256.88,-,-,-,-,-
750_130_7_03,BinP,3600.0,2044.93,692267.82
750_130_7_03,GH,3600.0,0.00,752612.33
750_130_7_03,GH + TS,3600.0,1240.58,692276.32,60336.0,8.0,179.85,220,570
750_130_7_03,GH + HC,3600.0,565.11,692283.56,60329.0,8.0,69.595,140,490
750_130_7_04,LB,3600.0,-,692249.64,-,-,-,-,-
750_130_7_04,BinP,3600.0,2580.43,692266.64
750_130_7_04,GH,3600.0,0.00,750454.96
750_130_7_04,GH + TS,3600.0,1546.37,692266.64,58188.0,8.0,376.829,390,740
750_130_7_04,GH + HC,3600.0,1069.07,692266.64,58188.0,8.0,299.636,495,845
750_130_7_05,LB,3600.0,-,692229.02,-,-,-,-,-
750_130_7_05,BinP,3600.0,1911.50,692235.08
750_130_7_05,GH,3600.0,0.00,750545.86
750_130_7_05,GH + TS,3600.0,833.02,692235.08,58311.0,8.0,78.257,159,509
750_130_7_05,GH + HC,3600.0,557.65,692235.08,58311.0,8.0,62.764,122,472
750_130_7_06,LB,3600.0,-,692247.28,-,-,-,-,-
750_130_7_06,BinP,3600.0,2017.79,692249.72
750_130_7_06,GH,3600.0,0.02,747188.61
750_130_7_06,GH + TS,3600.0,1156.01,692249.72,54939.0,7.0,203.577,231,581
750_130_7_06,GH + HC,3600.0,651.42,692249.72,54939.0,7.0,66.07,146,496
750_130_7_07,LB,3600.0,-,692236.26,-,-,-,-,-
750_130_7_07,BinP,3600.0,2321.94,692243.58
750_130_7_07,GH,3600.0,0.00,752872.9
750_130_7_07,GH + TS,3600.0,1058.19,692243.58,60629.0,8.0,157.222,204,554
750_130_7_07,GH + HC,3600.0,968.1,692243.58,60629.0,8.0,251.323,437,787
750_130_7_08,LB,3600.0,-,692235.08,-,-,-,-,-
750_130_7_08,BinP,3600.0,2210.69,692239.96
750_130_7_08,GH,3600.0,0.00,751473.02
750_130_7_08,GH + TS,3600.0,860.78,692239.96,59233.0,8.0,58.952,141,491
