instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_125_4_00,LB,1800.0,-,292613.44,-,-,-,-,-
500_125_4_00,BinP,1800.0,813.35,292613.44
500_125_4_00,GH,1800.0,0.01,308672.44
500_125_4_00,GH + TS,1800.0,141.05,292928.56,15744.0,5.0,0.0,0,350
500_125_4_00,GH + HC,1800.0,126.41,292928.56,15744.0,5.0,0.0,0,350
500_125_4_01,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_01,BinP,1800.0,650.34,292601.32
500_125_4_01,GH,1800.0,0.07,307533.16
500_125_4_01,GH + TS,1800.0,119.13,292964.92,14568.0,5.0,0.0,0,350
500_125_4_01,GH + HC,1800.0,122.23,292964.92,14568.0,5.0,0.0,0,350
500_125_4_02,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_02,BinP,1800.0,579.21,292601.32
500_125_4_02,GH,1800.0,0.02,309617.8
500_125_4_02,GH + TS,1800.0,134.02,292989.16,16629.0,5.0,0.0,0,350
500_125_4_02,GH + HC,1800.0,120.01,292989.16,16629.0,5.0,0.0,0,350
500_125_4_03,LB,1800.0,-,292613.44,-,-,-,-,-
500_125_4_03,BinP,1800.0,663.11,292613.44
500_125_4_03,GH,1800.0,0.21,309290.56
500_125_4_03,GH + TS,1800.0,129.05,292867.96,16423.0,5.0,0.0,0,350
500_125_4_03,GH + HC,1800.0,114.91,292867.96,16423.0,5.0,0.0,0,350
500_125_4_04,LB,1800.0,-,292625.56,-,-,-,-,-
500_125_4_04,BinP,1800.0,677.32,292625.56
500_125_4_04,GH,1800.0,0.07,310272.28
500_125_4_04,GH + TS,1800.0,114.13,292940.68,17332.0,6.0,0.0,0,350
500_125_4_04,GH + HC,1800.0,112.99,292940.68,17332.0,6.0,0.0,0,350
500_125_4_05,LB,1800.0,-,292613.44,-,-,-,-,-
500_125_4_05,BinP,1800.0,651.01,292613.44
500_125_4_05,GH,1800.0,0.15,306272.68
500_125_4_05,GH + TS,1800.0,127.84,292867.96,13405.0,4.0,0.0,0,350
500_125_4_05,GH + HC,1800.0,130.8,292867.96,13405.0,4.0,0.0,0,350
500_125_4_06,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_06,BinP,1800.0,779.21,292613.44
500_125_4_06,GH,1800.0,0.10,308308.84
500_125_4_06,GH + TS,1800.0,124.33,292855.84,15453.0,5.0,0.0,0,350
500_125_4_06,GH + HC,1800.0,109.21,292855.84,15453.0,5.0,0.0,0,350
500_125_4_07,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_07,BinP,1800.0,764.99,292601.32
500_125_4_07,GH,1800.0,0.02,307387.72
500_125_4_07,GH + TS,1800.0,129.47,292734.64,14653.0,5.0,0.0,0,350
500_125_4_07,GH + HC,1800.0,118.36,292734.64,14653.0,5.0,0.0,0,350
500_125_4_08,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_08,BinP,1800.0,786.66,292601.32
500_125_4_08,GH,1800.0,0.03,305460.64
500_125_4_08,GH + TS,1800.0,134.95,292855.84,12605.0,4.0,0.0,0,350
500_125_4_08,GH + HC,1800.0,127.41,292855.84,12605.0,4.0,0.0,0,350
500_125_4_09,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_09,BinP,1800.0,600.50,292601.32
500_125_4_09,GH,1800.0,0.09,308951.2
500_125_4_09,GH + TS,1800.0,115.76,292783.12,16168.0,5.0,0.0,0,350
500_125_4_09,GH + HC,1800.0,123.5,292783.12,16168.0,5.0,0.0,0,350
500_125_4_10,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_10,BinP,1800.0,644.95,292601.32
500_125_4_10,GH,1800.0,0.04,309678.4
500_125_4_10,GH + TS,1800.0,126.82,292734.64,16944.0,5.0,0.0,0,350
500_125_4_10,GH + HC,1800.0,122.93,292734.64,16944.0,5.0,0.0,0,350
500_125_4_11,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_11,BinP,1800.0,763.45,292601.32
500_125_4_11,GH,1800.0,0.09,309290.56
500_125_4_11,GH + TS,1800.0,147.23,292867.96,16423.0,5.0,0.0,0,350
500_125_4_11,GH + HC,1800.0,114.41,292867.96,16423.0,5.0,0.0,0,350
500_125_4_12,LB,1800.0,-,292601.32,-,-,-,-,-
500_125_4_12,BinP,1800.0,811.01,292613.44
500_125_4_12,GH,1800.0,0.14,307460.44
500_125_4_12,GH + TS,1800.0,125.89,292843.72,14617.0,5.0,0.0,0,350
500_125_4_12,GH + HC,1800.0,116.99,292843.72,14617.0,5.0,0.0,0,350
500_125_4_13,LB,1800.0,-,292613.44,-,-,-,-,-
500_125_4_13,BinP,1800.0,994.54,292613.44
500_125_4_13,GH,1800.0,0.05,308999.68
500_125_4_13,GH + TS,1800.0,125.11,292867.96,16132.0,5.0,0.0,0,350
500_125_4_13,GH + HC,1800.0,101.35,292867.96,16132.0,5.0,0.0,0,350
