instance,solver,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_120_5_00,LB,-,281999.78,,,,,
500_120_5_00,BinP,1076.76,282013.16,,,,,
500_120_5_00,3Idx,4205.81,309278.68,,,,,
500_120_5_00,GH,0.01,318449.2,,,,,
500_120_5_00,GH + TS,833.93,282015.6,36434,11,103.515,249,749
500_120_5_00,GH + HC,333.16,282013.16,36436,11,27.238,117,617
500_120_5_01,LB,-,281992.54,,,,,
500_120_5_01,BinP,712.6,281998.6,,,,,
500_120_5_01,3Idx,4033.94,305607.5,,,,,
500_120_5_01,GH,0,319697.56,,,,,
500_120_5_01,GH + TS,533.36,282004.66,37693,12,17.014,107,607
500_120_5_01,GH + HC,340.8,281998.6,37699,12,36.753,148,648
500_120_5_02,LB,-,282008.2,,,,,
500_120_5_02,BinP,905.6,282015.52,,,,,
500_120_5_02,GH,0,321715.54,,,,,
500_120_5_02,GH + TS,615.2,282017.96,39698,12,18.225,149,649
500_120_5_02,GH + HC,435.36,282017.96,39698,12,85.562,371,871
500_120_5_03,LB,-,281980.34,,,,,
500_120_5_03,BinP,604.34,281990.1,,,,,
500_120_5_03,3Idx,4134.36,304704.56,,,,,
500_120_5_03,GH,0,321745.84,,,,,
500_120_5_03,GH + TS,563.66,281990.1,39756,12,21.625,104,604
500_120_5_03,GH + HC,298.04,281990.1,39756,12,19.935,128,628
500_120_5_04,LB,-,281998.6,,,,,
500_120_5_04,BinP,665.27,282009.54,,,,,
500_120_5_04,GH,0,320885.32,,,,,
500_120_5_04,GH + TS,526.57,282009.54,38876,12,41.854,169,669
500_120_5_04,GH + HC,306.96,282009.54,38876,12,28.354,184,684
500_120_5_05,LB,-,281988.84,,,,,
500_120_5_05,BinP,964.41,281991.28,,,,,
500_120_5_05,GH,0,317758.36,,,,,
500_120_5_05,GH + TS,560.35,281993.72,35765,11,13.8,91,591
500_120_5_05,GH + HC,361.37,281991.28,35767,11,49.621,187,687
500_120_5_06,LB,-,281996.16,,,,,
500_120_5_06,BinP,761.96,282007.1,,,,,
500_120_5_06,GH,0,318861.28,,,,,
500_120_5_06,GH + TS,1012.87,282007.1,36854,12,261.694,472,972
500_120_5_06,GH + HC,288.19,282015.6,36846,12,12.772,91,591
500_120_5_07,LB,-,281996.16,,,,,
500_120_5_07,BinP,1409.06,282003.48,,,,,
500_120_5_07,GH,0,321048.94,,,,,
500_120_5_07,GH + TS,597,282003.48,39045,12,14.011,77,577
500_120_5_07,GH + HC,311.9,282003.48,39045,12,21.546,132,632
500_120_5_08,LB,-,281987.66,,,,,
500_120_5_08,BinP,530.08,281992.54,,,,,
500_120_5_08,3Idx,3950.54,308595.16,,,,,
500_120_5_08,GH,0,320121.76,,,,,
500_120_5_08,GH + TS,1269.85,281992.54,38129,12,321.679,562,1062
500_120_5_08,GH + HC,293.65,281992.54,38129,12,12.388,62,562
500_120_5_09,LB,-,281979.16,,,,,
500_120_5_09,BinP,746.82,281981.6,,,,,
500_120_5_09,3Idx,4027.95,308774.6,,,,,
500_120_5_09,GH,0,319927.84,,,,,
500_120_5_09,GH + TS,514.84,281981.6,37946,12,14.978,71,571
500_120_5_09,GH + HC,298.12,281981.6,37946,12,17.83,99,599
500_120_5_10,LB,-,282008.28,,,,,
500_120_5_10,BinP,1036.63,282036.22,,,,,
500_120_5_10,GH,0,319636.96,,,,,
500_120_5_10,GH + TS,629.96,282036.22,37601,12,14.382,79,579
500_120_5_10,GH + HC,304.18,282036.22,37601,12,18.134,89,589
500_120_5_11,LB,-,282016.78,,,,,
500_120_5_11,BinP,793.76,282021.66,,,,,
500_120_5_11,3Idx,3390.52,308345.44,,,,,
500_120_5_11,GH,0,318467.38,,,,,
500_120_5_11,GH + TS,919.39,282021.66,36446,11,178.29,388,888
500_120_5_11,GH + HC,306.22,282021.66,36446,11,25.223,126,626
500_120_5_12,LB,-,281991.28,,,,,
500_120_5_12,BinP,707.73,281993.72,,,,,
500_120_5_12,GH,0,319509.7,,,,,
500_120_5_12,GH + TS,572.08,281993.72,37516,12,41.494,157,657
500_120_5_12,GH + HC,306.97,281993.72,37516,12,23.567,131,631
500_120_5_13,LB,-,281982.78,,,,,
500_120_5_13,BinP,629.99,282004.66,,,,,
500_120_5_13,3Idx,3694.54,308413.44,,,,,
500_120_5_13,GH,0,321576.16,,,,,
500_120_5_13,GH + TS,843.23,282007.1,39569,12,142.89,298,798
500_120_5_13,GH + HC,436.75,282004.66,39572,12,90.149,377,877
500_120_5_14,LB,-,282000.96,,,,,
500_120_5_14,BinP,715.1,282005.84,,,,,
500_120_5_14,GH,0,319552.12,,,,,
500_120_5_14,GH + TS,626.61,282008.28,37544,12,15.751,98,598
500_120_5_14,GH + HC,286.93,282008.28,37544,12,12.421,81,581
500_120_5_15,LB,-,281992.46,,,,,
500_120_5_15,BinP,1306.16,282004.66,,,,,
500_120_5_15,3Idx,3474.28,308812.06,,,,,
500_120_5_15,GH,0,318903.7,,,,,
500_120_5_15,GH + TS,697.14,282004.66,36899,12,16.871,93,593
500_120_5_15,GH + HC,408.13,282004.66,36899,12,66.57,303,803
500_120_5_16,LB,-,282011.9,,,,,
500_120_5_16,BinP,677.55,282019.22,,,,,
500_120_5_16,3Idx,4051.64,311891.88,,,,,
500_120_5_16,GH,0,319594.54,,,,,
500_120_5_16,GH + TS,1163.73,282019.22,37575,12,259.376,498,998
500_120_5_16,GH + HC,501.69,282019.22,37575,12,113.999,476,976
500_120_5_17,LB,-,281998.6,,,,,
500_120_5_17,BinP,553,282003.48,,,,,
500_120_5_17,3Idx,3528.61,308576.98,,,,,
500_120_5_17,GH,0,320739.88,,,,,
500_120_5_17,GH + TS,975.98,282005.92,38734,12,184.092,332,832
500_120_5_17,GH + HC,306.1,282003.48,38736,12,16.772,75,575
500_120_5_18,LB,-,281987.66,,,,,
500_120_5_18,BinP,649.22,281996.16,,,,,
500_120_5_18,3Idx,4127.81,305529.9,,,,,
500_120_5_18,GH,0,321139.84,,,,,
500_120_5_18,GH + TS,925.7,281996.16,39144,12,223.36,461,961
500_120_5_18,GH + HC,351.5,281996.16,39144,12,45.573,219,719
500_120_5_19,LB,-,281997.34,,,,,
500_120_5_19,BinP,618.66,281999.78,,,,,
500_120_5_19,GH,0,319933.9,,,,,
500_120_5_19,GH + TS,568.23,281999.78,37934,12,20.566,104,604
500_120_5_19,GH + HC,381.17,281999.78,37934,12,63.515,251,751
