instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_101_6_00,LB,1800.0,-,297975.2,-,-,-,-,-
500_101_6_00,BinP,1800.0,899.06,297980.08
500_101_6_00,GH,1800.0,0.01,328638.58
500_101_6_00,GH + TS,1800.0,585.83,297982.52,30656.0,9.0,160.325,393,643
500_101_6_00,GH + HC,1800.0,282.24,297988.58,30650.0,9.0,84.853,380,630
500_101_6_01,LB,1800.0,-,297964.34,-,-,-,-,-
500_101_6_01,BinP,1800.0,605.93,297966.78
500_101_6_01,GH,1800.0,0.00,329026.42
500_101_6_01,GH + TS,1800.0,294.33,297969.22,31057.0,9.0,23.693,108,358
500_101_6_01,GH + HC,1800.0,151.63,297969.22,31057.0,9.0,18.119,135,385
500_101_6_02,LB,1800.0,-,297965.52,-,-,-,-,-
500_101_6_02,BinP,1800.0,569.06,297967.96
500_101_6_02,GH,1800.0,0.00,329462.74
500_101_6_02,GH + TS,1800.0,305.36,297970.4,31492.0,10.0,19.688,102,352
500_101_6_02,GH + HC,1800.0,146.04,297970.4,31492.0,10.0,14.679,94,344
500_101_6_03,LB,1800.0,-,297950.96,-,-,-,-,-
500_101_6_03,BinP,1800.0,536.88,297960.72
500_101_6_03,GH,1800.0,0.00,327584.14
500_101_6_03,GH + TS,1800.0,263.2,297960.72,29623.0,9.0,18.483,93,343
500_101_6_03,GH + HC,1800.0,211.18,297960.72,29623.0,9.0,48.286,288,538
500_101_6_04,LB,1800.0,-,297955.84,-,-,-,-,-
500_101_6_04,BinP,1800.0,522.68,297960.72
500_101_6_04,GH,1800.0,0.00,329929.36
500_101_6_04,GH + TS,1800.0,256.63,297960.72,31969.0,10.0,25.047,164,414
500_101_6_04,GH + HC,1800.0,138.97,297960.72,31969.0,10.0,17.985,110,360
500_101_6_05,LB,1800.0,-,297964.34,-,-,-,-,-
500_101_6_05,BinP,1800.0,993.73,297964.34
500_101_6_05,GH,1800.0,0.00,329293.06
500_101_6_05,GH + TS,1800.0,327.99,297966.78,31326.0,10.0,50.334,185,435
500_101_6_05,GH + HC,1800.0,160.04,297969.22,31324.0,10.0,19.411,89,339
500_101_6_06,LB,1800.0,-,297981.26,-,-,-,-,-
500_101_6_06,BinP,1800.0,503.37,297986.14
500_101_6_06,GH,1800.0,0.00,328232.56
500_101_6_06,GH + TS,1800.0,233.25,297988.58,30244.0,9.0,17.093,101,351
500_101_6_06,GH + HC,1800.0,160.06,297988.58,30244.0,9.0,18.979,119,369
500_101_6_07,LB,1800.0,-,297953.4,-,-,-,-,-
