instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_87_7_00,LB,1800.0,-,310018.94,-,-,-,-,-
500_87_7_00,BinP,1800.0,560.09,310023.82
500_87_7_00,GH,1800.0,0.01,335703.36
500_87_7_00,GH + TS,1800.0,495.88,310023.82,25680.0,8.0,16.922,138,638
500_87_7_00,GH + HC,1800.0,261.67,310023.82,25680.0,8.0,25.946,178,678
500_87_7_01,LB,1800.0,-,310018.94,-,-,-,-,-
500_87_7_01,BinP,1800.0,482.90,310029.88
500_87_7_01,GH,1800.0,0.00,336715.38
500_87_7_01,GH + TS,1800.0,620.18,310037.12,26678.0,8.0,115.699,339,839
500_87_7_01,GH + HC,1800.0,227.86,310043.18,26672.0,8.0,22.27,142,642
500_87_7_02,LB,1800.0,-,310014.06,-,-,-,-,-
500_87_7_02,BinP,1800.0,701.45,310022.56
500_87_7_02,GH,1800.0,0.00,337497.12
500_87_7_02,GH + TS,1800.0,436.01,310022.56,27475.0,8.0,17.886,120,620
500_87_7_02,GH + HC,1800.0,253.3,310022.56,27475.0,8.0,15.333,117,617
500_87_7_03,LB,1800.0,-,310011.62,-,-,-,-,-
500_87_7_03,BinP,1800.0,937.97,310021.38
500_87_7_03,GH,1800.0,0.00,336448.74
500_87_7_03,GH + TS,1800.0,1124.33,310021.38,26427.0,8.0,356.598,924,1424
500_87_7_03,GH + HC,1800.0,249.0,310021.38,26427.0,8.0,27.403,188,688
500_87_7_04,LB,1800.0,-,310009.18,-,-,-,-,-
500_87_7_04,BinP,1800.0,956.54,310014.06
500_87_7_04,GH,1800.0,0.00,337285.02
500_87_7_04,GH + TS,1800.0,616.09,310014.06,27271.0,8.0,83.884,254,754
500_87_7_04,GH + HC,1800.0,249.35,310017.68,27267.0,8.0,21.419,121,621
500_87_7_05,LB,1800.0,-,310017.68,-,-,-,-,-
500_87_7_05,BinP,1800.0,511.72,310020.12
500_87_7_05,GH,1800.0,0.00,336454.8
500_87_7_05,GH + TS,1800.0,462.58,310020.12,26435.0,8.0,16.885,129,629
500_87_7_05,GH + HC,1800.0,231.66,310023.74,26431.0,8.0,18.378,125,625
500_87_7_06,LB,1800.0,-,310015.24,-,-,-,-,-
500_87_7_06,BinP,1800.0,852.94,310022.56
500_87_7_06,GH,1800.0,0.00,337672.86
500_87_7_06,GH + TS,1800.0,661.94,310022.56,27650.0,8.0,99.791,362,862
500_87_7_06,GH + HC,1800.0,314.71,310022.56,27650.0,8.0,57.811,323,823
500_87_7_07,LB,1800.0,-,310015.24,-,-,-,-,-
500_87_7_07,BinP,1800.0,1010.57,310022.56
500_87_7_07,GH,1800.0,0.00,335782.14
500_87_7_07,GH + TS,1800.0,604.78,310032.24,25750.0,8.0,63.692,250,750
500_87_7_07,GH + HC,1800.0,278.16,310022.56,25760.0,8.0,41.605,239,739
500_87_7_08,LB,1800.0,-,310037.12,-,-,-,-,-
500_87_7_08,BinP,1800.0,620.97,310039.56
500_87_7_08,GH,1800.0,0.00,335824.56
500_87_7_08,GH + TS,1800.0,706.05,310039.56,25785.0,8.0,151.353,584,1084
500_87_7_08,GH + HC,1800.0,286.18,310043.18,25781.0,8.0,37.081,188,688
500_87_7_09,LB,1800.0,-,310032.32,-,-,-,-,-
500_87_7_09,BinP,1800.0,514.48,310034.76
500_87_7_09,GH,1800.0,0.00,337412.28
500_87_7_09,GH + TS,1800.0,579.67,310044.44,27368.0,8.0,15.619,76,576
500_87_7_09,GH + HC,1800.0,235.58,310044.44,27368.0,8.0,17.179,155,655
500_87_7_10,LB,1800.0,-,310032.24,-,-,-,-,-
500_87_7_10,BinP,1800.0,452.20,310034.68
500_87_7_10,GH,1800.0,0.00,335854.86
500_87_7_10,GH + TS,1800.0,485.25,310050.42,25804.0,8.0,12.293,88,588
500_87_7_10,GH + HC,1800.0,223.49,310050.42,25804.0,8.0,16.993,95,595
500_87_7_11,LB,1800.0,-,310037.12,-,-,-,-,-
500_87_7_11,BinP,1800.0,523.01,310037.12
500_87_7_11,GH,1800.0,0.00,335345.82
500_87_7_11,GH + TS,1800.0,441.98,310043.18,25303.0,8.0,17.744,120,620
500_87_7_11,GH + HC,1800.0,283.21,310043.18,25303.0,8.0,40.477,257,757
500_87_7_12,LB,1800.0,-,310027.44,-,-,-,-,-
500_87_7_12,BinP,1800.0,585.86,310042.0
500_87_7_12,GH,1800.0,0.00,335473.08
500_87_7_12,GH + TS,1800.0,537.14,310048.06,25425.0,8.0,65.33,254,754
500_87_7_12,GH + HC,1800.0,223.94,310048.06,25425.0,8.0,15.506,160,660
500_87_7_13,LB,1800.0,-,310009.18,-,-,-,-,-
500_87_7_13,BinP,1800.0,518.30,310020.12
500_87_7_13,GH,1800.0,0.00,337418.34
500_87_7_13,GH + TS,1800.0,477.0,310029.8,27389.0,8.0,16.715,114,614
500_87_7_13,GH + HC,1800.0,417.48,310023.74,27395.0,8.0,100.894,564,1064
500_87_7_14,LB,1800.0,-,310014.06,-,-,-,-,-
500_87_7_14,BinP,1800.0,1057.85,310020.12
500_87_7_14,GH,1800.0,0.00,335800.32
500_87_7_14,GH + TS,1800.0,430.99,310023.74,25777.0,8.0,19.266,127,627
500_87_7_14,GH + HC,1800.0,263.27,310026.18,25774.0,8.0,28.499,155,655
500_87_7_15,LB,1800.0,-,310006.74,-,-,-,-,-
500_87_7_15,BinP,1800.0,401.61,310016.5
500_87_7_15,GH,1800.0,0.00,337745.58
500_87_7_15,GH + TS,1800.0,524.04,310016.5,27729.0,8.0,71.038,270,770
500_87_7_15,GH + HC,1800.0,334.07,310016.5,27729.0,8.0,70.179,404,904
500_87_7_16,LB,1800.0,-,310020.12,-,-,-,-,-
500_87_7_16,BinP,1800.0,474.69,310020.12
500_87_7_16,GH,1800.0,0.00,336279.06
500_87_7_16,GH + TS,1800.0,832.22,310029.8,26249.0,8.0,224.33,632,1132
500_87_7_16,GH + HC,1800.0,415.94,310026.18,26253.0,8.0,103.766,554,1054
500_87_7_17,LB,1800.0,-,310011.62,-,-,-,-,-
500_87_7_17,BinP,1800.0,415.40,310014.06
500_87_7_17,GH,1800.0,0.00,335836.68
500_87_7_17,GH + TS,1800.0,443.61,310014.06,25823.0,8.0,22.18,116,616
500_87_7_17,GH + HC,1800.0,261.29,310014.06,25823.0,8.0,35.123,261,761
500_87_7_18,LB,1800.0,-,310029.8,-,-,-,-,-
500_87_7_18,BinP,1800.0,592.97,310037.12
500_87_7_18,GH,1800.0,0.00,336327.54
500_87_7_18,GH + TS,1800.0,490.12,310044.36,26283.0,8.0,14.949,86,586
500_87_7_18,GH + HC,1800.0,258.71,310044.36,26283.0,8.0,22.448,186,686
500_87_7_19,LB,1800.0,-,310023.82,-,-,-,-,-
500_87_7_19,BinP,1800.0,632.41,310035.94
500_87_7_19,GH,1800.0,0.00,335460.96
500_87_7_19,GH + TS,1800.0,731.65,310039.56,25421.0,8.0,140.253,349,849
500_87_7_19,GH + HC,1800.0,243.26,310039.56,25421.0,8.0,22.802,132,632
