instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
750_130_7_00,LB,1800.0,-,692241.14,-,-,-,-,-
750_130_7_00,BinP,1800.0,1804.20,703615.9
750_130_7_00,GH,1800.0,0.01,749133.88
750_130_7_00,GH + TS,1800.0,1299.43,692252.08,56882.0,8.0,54.203,144,644
750_130_7_00,GH + HC,1800.0,831.11,692256.96,56877.0,8.0,86.063,200,700
750_130_7_01,LB,1800.0,-,692241.14,-,-,-,-,-
750_130_7_01,BinP,1800.0,1804.50,702075.46
750_130_7_01,GH,1800.0,0.00,750461.02
750_130_7_01,GH + TS,1800.0,2913.04,692254.52,58207.0,8.0,995.696,976,1476
750_130_7_01,GH + HC,1800.0,771.72,692260.58,58200.0,8.0,93.822,168,668
750_130_7_02,LB,1800.0,-,692236.26,-,-,-,-,-
750_130_7_02,BinP,1800.0,1804.70,708869.91
750_130_7_02,GH,1800.0,0.01,751363.95
750_130_7_02,GH + TS,1800.0,1834.52,692249.64,59114.0,8.0,479.059,504,1004
750_130_7_02,GH + HC,1800.0,826.73,692243.59,59120.0,8.0,111.77,212,712
750_130_7_03,LB,1800.0,-,692256.88,-,-,-,-,-
750_130_7_03,BinP,1800.0,1816.42,709252.95
750_130_7_03,GH,1800.0,0.01,749436.88
750_130_7_03,GH + TS,1800.0,1288.81,692267.82,57169.0,8.0,83.681,196,696
750_130_7_03,GH + HC,1800.0,747.53,692267.82,57169.0,8.0,58.305,111,611
750_130_7_04,LB,1800.0,-,692249.64,-,-,-,-,-
750_130_7_04,BinP,1800.0,1801.83,692266.64
750_130_7_04,GH,1800.0,0.00,753424.35
750_130_7_04,GH + TS,1800.0,1193.16,692266.64,61158.0,8.0,123.339,208,708
750_130_7_04,GH + HC,1800.0,776.52,692266.64,61158.0,8.0,75.72,141,641
750_130_7_05,LB,1800.0,-,692229.02,-,-,-,-,-
750_130_7_05,BinP,1800.0,1804.22,701041.48
750_130_7_05,GH,1800.0,0.00,748133.97
750_130_7_05,GH + TS,1800.0,1292.51,692235.08,55899.0,7.0,85.474,150,650
750_130_7_05,GH + HC,1800.0,1520.17,692235.08,55899.0,7.0,450.313,777,1277
750_130_7_06,LB,1800.0,-,692247.28,-,-,-,-,-
750_130_7_06,BinP,1800.0,1818.53,703654.68
750_130_7_06,GH,1800.0,0.00,751509.4
750_130_7_06,GH + TS,1800.0,1598.54,692253.34,59256.0,8.0,175.799,249,749
750_130_7_06,GH + HC,1800.0,892.27,692249.72,59260.0,8.0,99.352,170,670
750_130_7_07,LB,1800.0,-,692236.26,-,-,-,-,-
750_130_7_07,BinP,1800.0,1800.81,707265.26
750_130_7_07,GH,1800.0,0.00,752333.56
750_130_7_07,GH + TS,1800.0,1166.55,692243.58,60090.0,8.0,63.651,155,655
750_130_7_07,GH + HC,1800.0,1125.62,692243.58,60090.0,8.0,268.402,437,937
750_130_7_08,LB,1800.0,-,692235.08,-,-,-,-,-
750_130_7_08,BinP,1800.0,1804.15,707387.73
750_130_7_08,GH,1800.0,0.00,753012.29
750_130_7_08,GH + TS,1800.0,1765.81,692239.96,60772.0,8.0,378.384,435,935
750_130_7_08,GH + HC,1800.0,885.27,692243.58,60769.0,8.0,120.277,246,746
750_130_7_09,LB,1800.0,-,692225.32,-,-,-,-,-
750_130_7_09,BinP,1800.0,1803.12,711855.12
750_130_7_09,GH,1800.0,0.01,750588.28
750_130_7_09,GH + TS,1800.0,1362.72,692244.76,58344.0,8.0,105.579,165,665
750_130_7_09,GH + HC,1800.0,755.3,692244.76,58344.0,8.0,84.827,203,703
750_130_7_10,LB,1800.0,-,692253.34,-,-,-,-,-
750_130_7_10,BinP,1800.0,1788.01,692260.58
750_130_7_10,GH,1800.0,0.00,752430.52
750_130_7_10,GH + TS,1800.0,1164.29,692269.08,60161.0,8.0,77.256,188,688
