instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_300_2_00,LB,1800.0,-,129752.9,-,-,-,-,-
500_300_2_00,BinP,1800.0,1131.96,129771.16,-,-,-,-,-
500_300_2_00,3Idx,1800.0,547.71,129771.16,-,-,-,-,-
500_300_2_00,GH,1800.0,0.01,265660.54,-,-,-,-,-
500_300_2_00,GH + HC,1800.0,398.28,129771.16,124151.0,49.0,215.032,33,83
500_300_2_01,LB,1800.0,-,129718.98,-,-,-,-,-
500_300_2_01,BinP,1800.0,955.50,129747.0,-,-,-,-,-
500_300_2_01,3Idx,1800.0,465.33,129747.0,-,-,-,-,-
500_300_2_01,GH,1800.0,0.00,262279.06,-,-,-,-,-
500_300_2_01,GH + HC,1800.0,426.57,129747.0,134089.0,51.0,236.907,42,92
500_300_2_02,LB,1800.0,-,129701.9,-,-,-,-,-
500_300_2_02,BinP,1800.0,992.83,129726.3,-,-,-,-,-
500_300_2_02,3Idx,1800.0,926.64,129726.3,-,-,-,-,-
500_300_2_02,GH,1800.0,0.00,257334.1,-,-,-,-,-
500_300_2_02,GH + HC,1800.0,409.26,129726.3,126444.0,49.0,248.722,38,88
500_300_2_03,LB,1800.0,-,129706.86,-,-,-,-,-
500_300_2_03,BinP,1800.0,963.63,129738.5,-,-,-,-,-
500_300_2_03,3Idx,1800.0,388.66,129738.5,-,-,-,-,-
500_300_2_03,GH,1800.0,0.00,258988.48,-,-,-,-,-
500_300_2_03,GH + HC,1800.0,473.34,129738.5,128620.0,50.0,308.379,50,100
500_300_2_04,LB,1800.0,-,129729.92,-,-,-,-,-
500_300_2_04,BinP,1800.0,1105.19,129748.18,-,-,-,-,-
500_300_2_04,3Idx,1800.0,317.19,129748.18,-,-,-,-,-
500_300_2_04,GH,1800.0,0.00,260533.78,-,-,-,-,-
500_300_2_04,GH + HC,1800.0,425.99,129748.18,134797.0,51.0,211.987,38,88
500_300_2_05,LB,1800.0,-,129726.22,-,-,-,-,-
500_300_2_05,BinP,1800.0,1143.37,129745.74,-,-,-,-,-
500_300_2_05,3Idx,1800.0,648.86,129745.74,-,-,-,-,-
500_300_2_05,GH,1800.0,0.00,258352.18,-,-,-,-,-
500_300_2_05,GH + HC,1800.0,417.79,129745.74,131012.0,50.0,197.152,34,84
500_300_2_06,LB,1800.0,-,129729.92,-,-,-,-,-
500_300_2_06,BinP,1800.0,1105.96,129754.24,-,-,-,-,-
500_300_2_06,3Idx,1800.0,465.73,129754.24,-,-,-,-,-
500_300_2_06,GH,1800.0,0.00,260648.92,-,-,-,-,-
500_300_2_06,GH + HC,1800.0,383.19,129754.24,133761.0,51.0,182.538,32,82
500_300_2_07,LB,1800.0,-,129720.16,-,-,-,-,-
500_300_2_07,BinP,1800.0,1011.56,129746.92,-,-,-,-,-
500_300_2_07,3Idx,1800.0,483.59,129746.92,-,-,-,-,-
500_300_2_07,GH,1800.0,0.00,261733.66,-,-,-,-,-
500_300_2_07,GH + HC,1800.0,484.32,129746.92,132569.0,51.0,380.701,84,134
500_300_2_08,LB,1800.0,-,129740.86,-,-,-,-,-
500_300_2_08,BinP,1800.0,1144.90,129774.86,-,-,-,-,-
500_300_2_08,3Idx,1800.0,401.33,129774.86,-,-,-,-,-
