solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 424,87 s
objective value: 567464.5

stacks (top to bottom):
stack 0:    
stack 1:    375 
stack 2:    377 1 
stack 3:    3 
stack 4:    
stack 5:    380 
stack 6:    
stack 7:    
stack 8:    
stack 9:    9 
stack 10:    10 
stack 11:    386 
stack 12:    12 
stack 13:    
stack 14:    14 
stack 15:    
stack 16:    
stack 17:    17 
stack 18:    393 
stack 19:    19 
stack 20:    395 
stack 21:    
stack 22:    
stack 23:    
stack 24:    
stack 25:    
stack 26:    402 401 365 27 
stack 27:    405 403 28 258 
stack 28:    176 404 36 91 
stack 29:    62 410 679 484 
stack 30:    40 411 30 702 
stack 31:    406 274 38 746 
stack 32:    33 39 470 408 
stack 33:    46 480 37 427 
stack 34:    340 191 598 415 
stack 35:    460 51 715 44 
stack 36:    175 170 412 135 
stack 37:    79 194 520 67 
stack 38:    467 438 656 664 
stack 39:    72 231 420 633 
stack 40:    69 335 568 75 
stack 41:    611 560 48 659 
stack 42:    332 521 53 634 
stack 43:    577 428 221 128 
stack 44:    749 373 421 432 
stack 45:    444 115 434 588 
stack 46:    52 726 343 626 
stack 47:    47 617 562 580 
stack 48:    293 748 54 50 
stack 49:    61 374 700 675 
stack 50:    124 509 497 430 
stack 51:    167 685 446 459 
stack 52:    148 139 449 641 
stack 53:    87 436 55 68 
stack 54:    368 65 635 687 
stack 55:    593 351 229 83 
stack 56:    651 448 657 133 
stack 57:    105 452 82 342 
stack 58:    464 209 537 711 
stack 59:    465 177 468 206 
stack 60:    684 76 182 682 
stack 61:    473 261 686 530 
stack 62:    245 358 590 476 
stack 63:    533 672 441 346 
stack 64:    190 263 286 466 
stack 65:    198 463 457 253 
stack 66:    552 95 585 161 
stack 67:    559 458 691 529 
stack 68:    344 731 222 142 
stack 69:    310 224 265 698 
stack 70:    354 603 699 208 
stack 71:    312 621 671 252 
stack 72:    89 673 542 99 
stack 73:    475 745 601 150 
stack 74:    669 453 573 296 
stack 75:    93 541 248 307 
stack 76:    538 109 472 461 
stack 77:    526 695 544 689 
stack 78:    303 567 513 487 
stack 79:    136 500 282 127 
stack 80:    188 713 114 98 
stack 81:    157 298 90 474 
stack 82:    223 295 299 625 
stack 83:    104 725 146 701 
stack 84:    575 117 481 607 
stack 85:    352 478 243 363 
stack 86:    527 622 195 489 
stack 87:    608 479 338 596 
stack 88:    735 227 180 742 
stack 89:    228 680 199 255 
stack 90:    477 250 361 185 
stack 91:    696 599 486 498 
stack 92:    734 640 116 697 
stack 93:    262 704 578 364 
stack 94:    333 655 703 143 
stack 95:    137 158 337 172 
stack 96:    316 256 515 491 
stack 97:    740 107 523 314 
stack 98:    649 665 321 179 
stack 99:    302 650 284 707 
stack 100:    268 367 712 218 
stack 101:    733 572 278 663 
stack 102:    226 692 718 591 
stack 103:    677 324 606 512 
stack 104:    339 619 225 743 
stack 105:    155 719 254 106 
stack 106:    220 723 540 294 
stack 107:    583 216 345 126 
stack 108:    121 517 597 112 
stack 109:    667 564 193 546 
stack 110:    553 240 273 236 
stack 111:    290 246 488 504 
stack 112:    291 737 219 507 
stack 113:    0 
stack 114:    376 
stack 115:    2 
stack 116:    378 
stack 117:    379 4 
stack 118:    5 
stack 119:    6 381 
stack 120:    7 382 
stack 121:    383 
stack 122:    384 
stack 123:    8 385 
stack 124:    11 
stack 125:    388 387 
stack 126:    
stack 127:    13 389 
stack 128:    390 15 
stack 129:    391 16 
stack 130:    392 
stack 131:    18 
stack 132:    394 
stack 133:    20 
stack 134:    21 396 
stack 135:    22 397 
stack 136:    398 23 
stack 137:    399 24 
stack 138:    25 400 26 29 
stack 139:    166 518 425 32 
stack 140:    212 439 722 409 
stack 141:    71 348 413 31 
stack 142:    469 407 325 43 
stack 143:    173 419 184 132 
stack 144:    181 35 550 144 
stack 145:    433 326 554 34 
stack 146:    259 418 720 305 
stack 147:    445 435 429 49 
stack 148:    320 447 516 56 
stack 149:    644 414 424 63 
stack 150:    501 431 683 422 
stack 151:    602 499 496 45 
stack 152:    357 417 41 217 
stack 153:    103 58 450 416 
stack 154:    503 277 42 281 
stack 155:    490 119 605 442 
stack 156:    81 60 443 423 
stack 157:    64 639 584 174 
stack 158:    612 727 239 451 
stack 159:    539 330 426 724 
stack 160:    334 74 145 558 
stack 161:    123 230 207 80 
stack 162:    331 455 70 739 
stack 163:    162 84 674 141 
stack 164:    201 693 437 648 
stack 165:    297 534 57 690 
stack 166:    308 318 85 151 
stack 167:    266 77 440 661 
stack 168:    362 73 317 638 
stack 169:    92 134 623 238 
stack 170:    66 311 304 289 
stack 171:    306 327 610 59 
stack 172:    96 197 249 658 
stack 173:    287 576 561 681 
stack 174:    744 565 454 732 
stack 175:    260 78 183 242 
stack 176:    233 628 213 97 
stack 177:    456 549 202 563 
stack 178:    355 251 511 482 
stack 179:    210 138 462 528 
stack 180:    566 654 101 609 
stack 181:    88 676 140 717 
stack 182:    86 535 349 211 
stack 183:    508 347 662 536 
stack 184:    372 156 688 514 
stack 185:    492 152 118 615 
stack 186:    652 582 493 271 
stack 187:    235 645 350 122 
stack 188:    506 232 708 110 
stack 189:    189 730 636 556 
stack 190:    353 502 341 94 
stack 191:    204 471 205 203 
stack 192:    276 632 747 705 
stack 193:    288 581 545 371 
