lower bound for relaxed s_ij: 567462.06

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 680272.87

stacks (top to bottom):
stack 0:    395 84 228 604 
stack 1:    642 19 622 2 
stack 2:    173 471 718 120 
stack 3:    350 366 695 29 
stack 4:    738 693 529 479 
stack 5:    311 653 161 37 
stack 6:    451 748 507 724 
stack 7:    340 544 285 721 
stack 8:    174 741 520 274 
stack 9:    234 196 430 424 
stack 10:    22 723 742 182 
stack 11:    83 469 77 253 
stack 12:    305 459 275 126 
stack 13:    218 663 316 442 
stack 14:    678 52 600 148 
stack 15:    88 155 329 494 
stack 16:    224 246 477 713 
stack 17:    214 462 310 61 
stack 18:    411 343 585 221 
stack 19:    154 664 158 300 
stack 20:    81 181 583 180 
stack 21:    168 172 510 521 
stack 22:    320 565 644 431 
stack 23:    555 702 327 206 
stack 24:    362 606 428 679 
stack 25:    10 432 490 92 
stack 26:    325 465 189 542 
stack 27:    638 629 370 677 
stack 28:    706 247 48 289 
stack 29:    94 5 429 140 
stack 30:    103 375 46 556 
stack 31:    685 749 391 8 
stack 32:    596 273 160 659 
stack 33:    179 710 655 286 
stack 34:    297 290 385 266 
stack 35:    91 624 294 374 
stack 36:    645 632 456 717 
stack 37:    4 613 508 267 
stack 38:    16 621 312 654 
stack 39:    493 487 117 516 
stack 40:    461 113 75 78 
stack 41:    21 682 388 183 
stack 42:    36 539 592 141 
stack 43:    202 669 368 137 
stack 44:    418 640 165 303 
stack 45:    333 688 0 336 
stack 46:    62 452 323 101 
stack 47:    586 354 704 132 
stack 48:    531 611 377 13 
stack 49:    554 291 420 222 
stack 50:    96 67 163 422 
stack 51:    282 139 560 402 
stack 52:    287 367 734 344 
stack 53:    85 55 365 681 
stack 54:    608 364 615 502 
stack 55:    540 576 538 207 
stack 56:    236 406 503 548 
stack 57:    208 737 525 219 
stack 58:    399 315 345 185 
stack 59:    41 620 12 680 
stack 60:    209 528 150 662 
stack 61:    401 349 656 466 
stack 62:    392 732 111 427 
stack 63:    118 356 373 33 
stack 64:    745 616 104 443 
stack 65:    457 692 545 197 
stack 66:    683 610 478 341 
stack 67:    699 176 121 321 
stack 68:    380 331 145 574 
stack 69:    501 284 729 543 
stack 70:    727 95 408 186 
stack 71:    308 233 109 666 
stack 72:    413 460 339 237 
stack 73:    372 537 646 455 
stack 74:    230 93 489 414 
stack 75:    647 482 671 40 
stack 76:    651 198 532 252 
stack 77:    371 259 633 519 
stack 78:    191 533 278 50 
stack 79:    512 216 14 138 
stack 80:    337 731 229 500 
stack 81:    694 607 255 526 
stack 82:    66 57 262 700 
stack 83:    577 114 599 635 
stack 84:    27 130 557 444 
stack 85:    536 281 203 299 
stack 86:    589 497 108 553 
stack 87:    129 404 495 547 
stack 88:    684 201 39 398 
stack 89:    561 357 522 672 
stack 90:    328 567 71 476 
stack 91:    419 144 89 313 
stack 92:    675 468 60 211 
stack 93:    134 97 687 220 
stack 94:    470 74 149 517 
stack 95:    726 601 190 80 
stack 96:    292 65 106 18 
stack 97:    566 177 244 409 
stack 98:    550 34 319 70 
stack 99:    736 330 192 541 
stack 100:    59 193 232 686 
stack 101:    590 200 306 302 
stack 102:    617 212 705 716 
stack 103:    551 475 598 76 
stack 104:    359 463 51 332 
stack 105:    719 472 346 594 
stack 106:    73 265 740 612 
