solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 869,75 s
objective value: 1110923.26

stacks (top to bottom):
stack 0:    
stack 1:    1 501 
stack 2:    502 
stack 3:    3 
stack 4:    504 
stack 5:    
stack 6:    6 
stack 7:    507 
stack 8:    
stack 9:    8 
stack 10:    
stack 11:    
stack 12:    
stack 13:    
stack 14:    
stack 15:    15 
stack 16:    16 
stack 17:    
stack 18:    518 
stack 19:    
stack 20:    
stack 21:    521 
stack 22:    
stack 23:    23 
stack 24:    524 
stack 25:    525 542 529 541 
stack 26:    527 686 526 26 530 
stack 27:    959 28 539 298 444 
stack 28:    700 528 645 37 29 
stack 29:    426 72 219 758 534 
stack 30:    724 562 930 318 543 
stack 31:    573 44 719 194 378 
stack 32:    38 119 540 287 860 
stack 33:    538 35 165 559 536 
stack 34:    613 556 45 171 34 
stack 35:    63 361 705 357 572 
stack 36:    69 726 81 489 256 
stack 37:    823 574 895 826 59 
stack 38:    43 555 121 728 950 
stack 39:    483 232 921 52 592 
stack 40:    933 112 847 96 545 
stack 41:    568 811 981 400 582 
stack 42:    614 146 198 552 158 
stack 43:    665 985 366 429 55 
stack 44:    92 435 46 76 899 
stack 45:    295 943 591 392 161 
stack 46:    355 551 345 482 455 
stack 47:    322 68 307 796 326 
stack 48:    188 53 888 262 866 
stack 49:    915 57 687 264 721 
stack 50:    376 563 995 569 415 
stack 51:    889 682 315 590 828 
stack 52:    797 293 929 290 575 
stack 53:    103 972 207 495 82 
stack 54:    567 97 231 939 269 
stack 55:    187 206 891 80 941 
stack 56:    351 588 925 603 433 
stack 57:    467 172 862 246 775 
stack 58:    564 605 858 843 597 
stack 59:    94 107 622 282 338 
stack 60:    708 239 60 802 983 
stack 61:    755 90 285 584 938 
stack 62:    639 93 302 356 485 
stack 63:    98 840 810 446 727 
stack 64:    955 883 982 571 178 
stack 65:    447 253 702 659 65 
stack 66:    990 713 382 233 606 
stack 67:    576 904 909 319 763 
stack 68:    468 741 853 879 391 
stack 69:    704 152 147 251 766 
stack 70:    679 773 73 337 242 
stack 71:    790 419 475 931 673 
stack 72:    120 611 647 829 88 
stack 73:    903 706 818 85 844 
stack 74:    102 908 402 822 110 
stack 75:    600 581 213 765 967 
stack 76:    321 289 101 986 413 
stack 77:    234 944 100 685 329 
stack 78:    643 311 425 799 746 
stack 79:    753 199 619 770 878 
stack 80:    380 958 602 177 182 
stack 81:    440 633 190 490 375 
stack 82:    742 968 371 301 499 
stack 83:    641 469 181 230 217 
stack 84:    324 650 997 859 216 
stack 85:    442 418 664 901 635 
stack 86:    463 674 994 675 971 
stack 87:    358 846 776 228 804 
stack 88:    865 306 130 670 179 
stack 89:    284 652 834 123 148 
stack 90:    303 200 624 825 176 
stack 91:    827 491 820 224 948 
stack 92:    669 362 887 934 160 
stack 93:    857 754 487 480 373 
stack 94:    681 902 751 261 117 
stack 95:    976 162 441 666 772 
stack 96:    965 417 838 906 945 
stack 97:    975 308 292 167 720 
stack 98:    946 987 208 832 359 
stack 99:    151 263 896 747 278 
stack 100:    848 709 676 320 752 
stack 101:    135 743 769 801 128 
stack 102:    210 791 353 636 184 
stack 103:    185 786 349 817 691 
stack 104:    855 774 693 771 432 
stack 105:    905 960 977 305 794 
stack 106:    189 169 124 894 379 
stack 107:    924 918 748 696 952 
stack 108:    657 734 180 623 739 
stack 109:    398 238 655 340 454 
stack 110:    274 988 777 699 438 
stack 111:    486 386 170 683 668 
stack 112:    342 132 268 203 892 
stack 113:    711 465 735 942 973 
stack 114:    784 809 947 923 439 
stack 115:    462 740 270 294 913 
stack 116:    458 974 632 493 443 
stack 117:    214 917 935 437 494 
stack 118:    833 339 620 266 839 
stack 119:    457 409 630 701 125 
stack 120:    500 
stack 121:    0 
stack 122:    2 
stack 123:    503 
stack 124:    4 
stack 125:    505 5 
stack 126:    506 
stack 127:    7 
stack 128:    508 
stack 129:    9 509 
stack 130:    510 10 
stack 131:    512 11 511 
stack 132:    12 
stack 133:    13 513 
stack 134:    14 514 
stack 135:    
stack 136:    516 515 
stack 137:    17 517 
stack 138:    18 
stack 139:    519 19 
stack 140:    20 520 
stack 141:    21 
stack 142:    522 
stack 143:    523 22 
stack 144:    25 24 
stack 145:    283 430 531 83 787 
stack 146:    221 870 316 535 550 
stack 147:    27 42 756 873 314 
stack 148:    33 30 186 532 50 
stack 149:    533 496 279 370 547 
stack 150:    553 537 788 560 31 
stack 151:    448 951 259 416 192 
stack 152:    32 544 759 856 566 
stack 153:    258 277 193 36 86 
stack 154:    549 67 408 108 249 
stack 155:    168 144 722 554 561 
stack 156:    548 113 663 39 41 
stack 157:    586 830 427 58 40 
stack 158:    47 580 779 174 861 
stack 159:    587 78 954 678 737 
stack 160:    212 62 877 422 583 
stack 161:    49 211 54 821 585 
stack 162:    346 558 927 129 70 
stack 163:    56 368 341 627 876 
stack 164:    48 601 984 154 557 
stack 165:    980 684 205 616 75 
stack 166:    617 243 729 578 546 
stack 167:    61 397 309 698 926 
stack 168:    51 64 963 869 87 
stack 169:    127 712 565 962 897 
stack 170:    325 131 66 991 658 
stack 171:    570 363 992 932 800 
stack 172:    819 91 399 900 831 
stack 173:    116 254 166 365 95 
stack 174:    814 677 577 842 377 
stack 175:    969 327 77 868 956 
stack 176:    248 395 589 785 281 
stack 177:    384 579 271 273 175 
stack 178:    424 183 79 715 352 
stack 179:    634 145 841 343 757 
stack 180:    488 142 595 245 625 
stack 181:    762 598 936 479 336 
stack 182:    286 296 240 218 105 
stack 183:    593 649 226 612 654 
stack 184:    109 451 644 607 335 
stack 185:    970 815 247 849 332 
stack 186:    118 464 411 989 388 
stack 187:    874 99 732 452 89 
stack 188:    421 781 74 824 222 
stack 189:    257 445 423 477 71 
stack 190:    497 596 911 498 420 
stack 191:    928 280 333 84 149 
stack 192:    196 481 890 471 949 
stack 193:    139 671 648 789 403 
stack 194:    863 898 914 993 738 
stack 195:    484 312 114 609 348 
stack 196:    594 937 394 837 220 
stack 197:    134 387 237 225 680 
stack 198:    460 599 922 354 297 
stack 199:    714 474 104 106 871 
stack 200:    656 412 350 436 323 
stack 201:    998 813 150 608 209 
stack 202:    235 725 304 695 360 
stack 203:    744 798 610 389 367 
stack 204:    347 236 852 881 195 
stack 205:    396 651 406 978 964 
stack 206:    688 364 157 780 697 
stack 207:    880 604 393 428 979 
stack 208:    710 723 244 163 806 
stack 209:    851 910 615 640 661 
stack 210:    383 768 808 660 385 
stack 211:    164 260 662 250 718 
stack 212:    893 344 267 694 374 
stack 213:    141 618 204 864 919 
stack 214:    450 957 749 886 401 
stack 215:    907 875 155 202 492 
stack 216:    912 137 115 111 456 
stack 217:    885 792 717 638 628 
stack 218:    884 381 410 736 466 
stack 219:    472 369 836 330 966 
stack 220:    760 882 431 850 407 
stack 221:    782 404 143 331 140 
stack 222:    672 731 626 173 653 
stack 223:    961 476 807 133 916 
stack 224:    265 317 812 255 459 
stack 225:    138 229 201 136 764 
stack 226:    453 275 872 996 461 
stack 227:    241 313 310 690 272 
stack 228:    405 642 703 920 156 
stack 229:    707 793 803 390 449 
stack 230:    631 159 153 733 621 
stack 231:    299 835 291 223 478 
stack 232:    470 126 795 197 854 
stack 233:    767 288 646 761 637 
stack 234:    750 252 328 730 215 
stack 235:    667 227 716 778 805 
stack 236:    999 276 845 745 783 
stack 237:    689 434 191 692 372 
stack 238:    334 867 816 629 300 
stack 239:    473 953 414 940 122 
