solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 806,93 s
objective value: 1110900.2

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    
stack 4:    4 
stack 5:    
stack 6:    
stack 7:    7 
stack 8:    
stack 9:    
stack 10:    10 
stack 11:    511 
stack 12:    
stack 13:    513 
stack 14:    14 
stack 15:    15 
stack 16:    
stack 17:    16 
stack 18:    
stack 19:    519 
stack 20:    20 
stack 21:    521 
stack 22:    
stack 23:    
stack 24:    24 
stack 25:    468 762 535 944 
stack 26:    28 565 930 478 414 
stack 27:    464 27 530 588 527 
stack 28:    476 37 888 747 458 
stack 29:    548 540 562 113 44 
stack 30:    430 579 80 546 534 
stack 31:    929 34 553 41 732 
stack 32:    215 738 543 541 32 
stack 33:    52 92 272 128 556 
stack 34:    57 299 271 551 568 
stack 35:    45 552 729 246 40 
stack 36:    567 118 771 580 559 
stack 37:    259 471 38 765 298 
stack 38:    760 145 538 359 545 
stack 39:    599 751 880 74 190 
stack 40:    58 858 244 867 681 
stack 41:    967 558 899 448 79 
stack 42:    640 570 137 43 73 
stack 43:    758 571 935 761 578 
stack 44:    849 154 544 652 963 
stack 45:    78 712 56 229 355 
stack 46:    257 336 406 350 351 
stack 47:    353 678 60 943 54 
stack 48:    482 378 184 91 391 
stack 49:    593 491 266 620 93 
stack 50:    59 613 437 418 573 
stack 51:    932 381 100 996 947 
stack 52:    86 279 149 352 958 
stack 53:    82 335 856 217 674 
stack 54:    724 130 713 172 574 
stack 55:    764 473 591 451 84 
stack 56:    938 660 777 965 563 
stack 57:    603 112 717 357 445 
stack 58:    216 776 979 595 584 
stack 59:    638 95 187 911 152 
stack 60:    986 475 122 577 105 
stack 61:    604 141 263 807 697 
stack 62:    728 192 88 431 949 
stack 63:    142 655 69 315 895 
stack 64:    627 90 782 221 174 
stack 65:    906 402 226 645 488 
stack 66:    493 575 662 811 477 
stack 67:    658 977 582 942 715 
stack 68:    877 644 360 405 600 
stack 69:    902 422 836 83 449 
stack 70:    291 701 410 725 349 
stack 71:    834 241 388 590 120 
stack 72:    743 763 180 748 598 
stack 73:    109 340 170 816 789 
stack 74:    133 602 736 819 631 
stack 75:    191 896 347 606 452 
stack 76:    94 788 973 389 256 
stack 77:    311 160 404 797 657 
stack 78:    898 927 864 103 709 
stack 79:    952 317 436 286 893 
stack 80:    275 304 158 798 332 
stack 81:    857 224 442 440 164 
stack 82:    912 225 426 494 799 
stack 83:    186 862 619 364 173 
stack 84:    338 210 450 721 795 
stack 85:    125 309 281 726 828 
stack 86:    960 385 313 181 632 
stack 87:    427 643 787 702 900 
stack 88:    833 878 820 262 380 
stack 89:    195 196 844 772 886 
stack 90:    387 269 752 691 135 
stack 91:    240 326 423 769 343 
stack 92:    821 847 280 830 287 
stack 93:    991 329 330 916 463 
stack 94:    817 267 646 362 940 
stack 95:    129 815 809 331 671 
stack 96:    982 749 497 358 904 
stack 97:    334 609 288 132 467 
stack 98:    165 447 710 905 980 
stack 99:    659 964 368 441 812 
stack 100:    276 722 205 654 321 
stack 101:    677 696 123 369 774 
stack 102:    870 320 780 261 199 
stack 103:    734 176 153 957 420 
stack 104:    328 412 791 851 961 
stack 105:    689 222 623 169 683 
stack 106:    114 289 131 781 178 
stack 107:    325 675 876 166 636 
stack 108:    746 273 472 490 703 
stack 109:    150 621 854 711 245 
stack 110:    365 487 978 901 723 
stack 111:    439 247 231 825 138 
stack 112:    687 453 223 754 810 
stack 113:    972 779 303 283 925 
stack 114:    706 865 990 855 345 
stack 115:    206 626 823 933 861 
stack 116:    890 443 808 842 962 
stack 117:    251 634 720 306 921 
stack 118:    907 227 363 879 639 
stack 119:    407 461 396 775 175 
stack 120:    500 0 
stack 121:    1 
stack 122:    2 502 501 
stack 123:    3 503 
stack 124:    504 
stack 125:    5 505 
stack 126:    6 506 
stack 127:    507 
stack 128:    508 8 
stack 129:    509 9 
stack 130:    510 
stack 131:    11 
stack 132:    512 12 
stack 133:    13 
stack 134:    514 
stack 135:    515 
stack 136:    516 
stack 137:    517 17 
stack 138:    18 518 
stack 139:    19 
stack 140:    520 
stack 141:    21 
stack 142:    22 522 
stack 143:    523 23 
stack 144:    25 524 
stack 145:    525 529 526 29 557 
stack 146:    30 874 26 489 228 
