solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 172,20 s
objective value: 282017.96

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    2 
stack 3:    253 
stack 4:    254 
stack 5:    
stack 6:    
stack 7:    
stack 8:    258 
stack 9:    
stack 10:    260 
stack 11:    
stack 12:    13 
stack 13:    18 98 50 222 228 
stack 14:    264 271 14 269 15 
stack 15:    279 266 272 484 479 
stack 16:    17 273 417 358 227 
stack 17:    40 68 458 144 304 
stack 18:    470 25 291 438 60 
stack 19:    36 428 292 276 320 
stack 20:    198 307 330 203 289 
stack 21:    31 23 277 480 231 
stack 22:    308 112 140 173 24 
stack 23:    188 132 372 82 343 
stack 24:    379 210 245 450 288 
stack 25:    114 356 309 62 96 
stack 26:    136 209 329 296 56 
stack 27:    398 103 34 287 77 
stack 28:    135 156 30 196 28 
stack 29:    293 383 33 195 387 
stack 30:    247 284 133 59 243 
stack 31:    176 128 375 166 117 
stack 32:    282 435 38 232 410 
stack 33:    381 463 452 483 147 
stack 34:    211 229 204 468 357 
stack 35:    408 338 171 423 180 
stack 36:    364 113 490 151 63 
stack 37:    496 399 444 433 335 
stack 38:    419 230 165 175 389 
stack 39:    84 97 42 361 313 
stack 40:    48 47 298 478 220 
stack 41:    167 371 111 390 474 
stack 42:    94 495 430 481 370 
stack 43:    142 302 138 404 189 
stack 44:    341 215 234 95 294 
stack 45:    49 396 105 306 486 
stack 46:    476 397 76 124 312 
stack 47:    384 199 469 412 365 
stack 48:    236 248 104 93 400 
stack 49:    54 118 493 369 184 
stack 50:    242 83 70 235 499 
stack 51:    217 207 116 187 494 
stack 52:    446 125 345 164 61 
stack 53:    181 192 212 224 434 
stack 54:    137 145 55 429 126 
stack 55:    216 66 206 67 455 
stack 56:    461 460 448 376 191 
stack 57:    451 318 475 401 377 
stack 58:    73 65 332 394 453 
stack 59:    492 193 78 178 413 
stack 60:    251 250 0 
stack 61:    1 
stack 62:    252 
stack 63:    3 
stack 64:    5 4 
stack 65:    255 
stack 66:    257 6 
stack 67:    7 256 
stack 68:    259 8 
stack 69:    9 
stack 70:    10 
stack 71:    261 12 11 
stack 72:    262 321 226 268 
stack 73:    177 263 362 270 305 
stack 74:    16 75 328 265 74 
stack 75:    21 130 161 447 29 
stack 76:    122 275 46 427 316 
stack 77:    267 22 418 26 44 
stack 78:    52 285 339 53 424 
stack 79:    19 200 205 355 20 
stack 80:    27 88 354 280 170 
stack 81:    283 221 58 233 344 
stack 82:    81 240 174 290 497 
stack 83:    162 310 149 218 325 
stack 84:    274 281 340 391 154 
stack 85:    489 395 359 237 311 
stack 86:    374 334 85 278 300 
stack 87:    157 368 100 51 121 
stack 88:    32 225 286 315 347 
stack 89:    120 351 297 445 71 
stack 90:    91 35 238 366 246 
stack 91:    437 172 392 106 464 
stack 92:    299 143 183 482 134 
stack 93:    432 421 353 471 378 
stack 94:    102 388 57 485 348 
stack 95:    37 414 322 194 456 
stack 96:    185 223 86 159 39 
stack 97:    148 150 349 295 326 
stack 98:    41 155 152 197 129 
stack 99:    327 337 110 454 45 
stack 100:    407 360 350 373 426 
stack 101:    466 90 141 123 386 
stack 102:    107 89 420 459 43 
stack 103:    219 462 352 202 303 
stack 104:    367 208 108 498 457 
stack 105:    99 317 467 403 422 
stack 106:    169 406 439 409 139 
stack 107:    301 241 314 425 179 
stack 108:    336 239 440 331 182 
stack 109:    80 153 449 465 487 
stack 110:    363 491 201 342 442 
stack 111:    411 168 87 244 92 
stack 112:    249 405 319 160 119 
stack 113:    213 443 101 69 436 
stack 114:    441 115 380 79 473 
stack 115:    415 346 190 472 131 
stack 116:    323 109 382 72 416 
stack 117:    333 163 64 186 214 
stack 118:    431 393 158 146 127 
stack 119:    324 477 488 385 402 
