solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 177,82 s
objective value: 297978.9

stacks (top to bottom):
stack 0:    250 
stack 1:    0 
stack 2:    252 
stack 3:    3 
stack 4:    4 
stack 5:    255 
stack 6:    
stack 7:    7 
stack 8:    
stack 9:    
stack 10:    10 
stack 11:    43 12 489 455 69 403 
stack 12:    377 15 316 384 305 275 
stack 13:    118 141 458 237 17 95 
stack 14:    234 24 362 158 16 82 
stack 15:    272 265 267 86 268 358 
stack 16:    270 309 222 274 124 233 
stack 17:    431 269 422 425 278 146 
stack 18:    346 77 145 18 351 486 
stack 19:    177 165 223 432 34 232 
stack 20:    20 333 73 32 60 199 
stack 21:    290 375 443 330 242 492 
stack 22:    388 31 22 104 360 405 
stack 23:    469 286 297 173 435 394 
stack 24:    211 475 397 117 498 276 
stack 25:    46 33 294 319 101 28 
stack 26:    323 409 423 70 67 345 
stack 27:    178 301 163 149 194 419 
stack 28:    164 189 383 128 176 107 
stack 29:    137 448 487 376 139 140 
stack 30:    342 481 456 292 93 372 
stack 31:    99 482 50 343 217 459 
stack 32:    181 185 103 401 387 106 
stack 33:    454 373 186 303 47 168 
stack 34:    417 341 243 59 134 493 
stack 35:    318 74 484 57 430 310 
stack 36:    112 416 462 327 445 446 
stack 37:    378 39 229 71 198 368 
stack 38:    329 299 289 159 428 440 
stack 39:    122 320 61 102 78 85 
stack 40:    212 302 182 314 56 66 
stack 41:    64 426 80 203 227 494 
stack 42:    370 468 438 247 235 389 
stack 43:    89 206 472 457 321 215 
stack 44:    109 313 479 390 306 58 
stack 45:    300 418 236 471 478 334 
stack 46:    147 169 324 364 123 90 
stack 47:    439 224 225 68 465 495 
stack 48:    113 499 441 154 359 366 
stack 49:    115 100 204 340 367 65 
stack 50:    54 172 87 202 421 352 
stack 51:    
stack 52:    1 
stack 53:    2 251 
stack 54:    253 
stack 55:    254 
stack 56:    5 
stack 57:    6 256 
stack 58:    257 
stack 59:    8 258 259 
stack 60:    9 
stack 61:    40 379 187 260 53 
stack 62:    277 264 261 262 14 11 
stack 63:    13 263 332 450 347 63 
stack 64:    121 127 155 283 170 29 
stack 65:    348 41 485 381 130 197 
stack 66:    218 51 231 19 42 447 
stack 67:    148 308 84 241 266 120 
stack 68:    26 88 408 413 246 382 
stack 69:    442 207 23 192 284 175 
stack 70:    393 335 273 21 288 200 
stack 71:    470 75 474 48 25 398 
stack 72:    287 354 271 463 143 404 
stack 73:    279 72 461 361 339 37 
stack 74:    326 248 30 220 436 467 
stack 75:    385 400 391 433 226 293 
stack 76:    108 35 97 491 27 420 
stack 77:    190 424 125 464 412 460 
stack 78:    374 129 230 221 188 166 
stack 79:    365 209 151 444 369 337 
stack 80:    119 152 363 291 281 280 
stack 81:    356 285 136 98 55 76 
stack 82:    476 490 52 427 160 79 
stack 83:    38 245 214 473 282 315 
stack 84:    350 392 317 45 153 353 
stack 85:    171 135 415 131 357 196 
stack 86:    338 114 156 49 238 205 
stack 87:    325 36 497 480 312 208 
stack 88:    395 249 414 451 386 83 
stack 89:    219 453 371 452 402 429 
stack 90:    295 144 183 437 150 410 
stack 91:    184 180 133 396 167 344 
stack 92:    142 91 304 105 355 331 
stack 93:    92 116 349 138 201 298 
stack 94:    81 380 411 239 477 434 
stack 95:    110 161 62 466 132 44 
stack 96:    195 483 296 322 96 336 
stack 97:    174 406 488 449 216 328 
stack 98:    399 193 307 240 228 94 
stack 99:    210 157 126 162 111 311 
stack 100:    407 191 179 244 496 213 
