solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 167,24 s
objective value: 297970.4

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    252 2 
stack 3:    3 
stack 4:    
stack 5:    
stack 6:    6 
stack 7:    
stack 8:    8 
stack 9:    9 
stack 10:    10 
stack 11:    277 152 261 162 66 263 
stack 12:    374 31 326 211 166 229 
stack 13:    265 264 313 478 32 124 
stack 14:    53 23 266 14 473 280 
stack 15:    274 108 497 411 175 15 
stack 16:    454 285 428 25 404 161 
stack 17:    267 459 203 363 17 69 
stack 18:    455 434 330 28 349 183 
stack 19:    431 189 458 30 303 34 
stack 20:    358 63 320 157 29 380 
stack 21:    78 477 208 309 290 35 
stack 22:    366 359 82 283 334 170 
stack 23:    456 70 487 410 193 136 
stack 24:    50 321 351 163 276 173 
stack 25:    52 98 423 333 340 485 
stack 26:    470 496 115 317 182 329 
stack 27:    367 495 104 171 79 204 
stack 28:    355 440 439 284 371 307 
stack 29:    195 239 379 112 121 345 
stack 30:    381 406 110 304 200 106 
stack 31:    441 373 36 44 306 179 
stack 32:    59 196 461 236 324 419 
stack 33:    375 286 289 424 302 405 
stack 34:    293 403 172 127 384 192 
stack 35:    145 184 336 376 383 125 
stack 36:    370 185 111 132 288 223 
stack 37:    87 174 460 346 37 122 
stack 38:    446 94 354 137 107 228 
stack 39:    483 76 429 331 344 199 
stack 40:    219 426 109 432 57 484 
stack 41:    167 413 387 464 90 68 
stack 42:    130 118 489 481 123 357 
stack 43:    140 237 146 467 476 391 
stack 44:    396 72 138 206 248 443 
stack 45:    295 209 231 244 249 445 
stack 46:    240 93 60 95 222 474 
stack 47:    360 221 298 150 322 47 
stack 48:    327 409 103 198 88 401 
stack 49:    421 67 377 430 335 232 
stack 50:    220 92 197 498 385 400 
stack 51:    250 0 
stack 52:    251 1 
stack 53:    
stack 54:    253 254 
stack 55:    4 
stack 56:    5 
stack 57:    256 255 
stack 58:    257 7 
stack 59:    258 
stack 60:    259 
stack 61:    97 262 260 294 386 
stack 62:    191 19 233 488 11 13 
stack 63:    393 12 305 194 493 207 
stack 64:    41 128 291 55 299 20 
stack 65:    438 463 22 397 205 273 
stack 66:    141 169 471 382 308 312 
stack 67:    149 180 40 16 347 27 
stack 68:    268 408 343 275 190 234 
stack 69:    365 45 18 186 114 202 
stack 70:    270 49 269 353 155 126 
stack 71:    462 323 297 21 177 243 
stack 72:    282 113 144 271 272 26 
stack 73:    131 442 422 217 24 178 
stack 74:    117 480 154 99 325 238 
stack 75:    450 38 328 73 337 134 
stack 76:    318 369 51 310 319 54 
stack 77:    281 316 85 116 402 315 
stack 78:    278 100 159 74 65 120 
stack 79:    356 102 48 352 449 71 
stack 80:    247 435 39 279 245 151 
stack 81:    210 188 417 242 447 42 
stack 82:    338 77 398 89 287 332 
stack 83:    153 394 415 368 416 436 
stack 84:    33 119 218 64 213 80 
stack 85:    412 448 168 466 201 451 
stack 86:    362 212 160 292 230 311 
stack 87:    226 81 296 143 147 444 
stack 88:    475 457 135 364 437 341 
stack 89:    235 158 241 133 492 469 
stack 90:    468 227 101 491 300 86 
stack 91:    58 43 490 164 216 390 
stack 92:    181 156 165 452 361 342 
stack 93:    472 129 214 395 148 225 
stack 94:    224 425 350 388 486 479 
stack 95:    301 407 246 46 482 61 
stack 96:    83 339 105 453 314 433 
stack 97:    176 75 215 420 96 399 
stack 98:    142 392 84 418 187 378 
stack 99:    372 62 139 91 427 465 
stack 100:    494 414 389 348 499 56 
