solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 363,28 s
objective value: 667298.18

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    3 378 
stack 4:    
stack 5:    
stack 6:    
stack 7:    
stack 8:    383 
stack 9:    8 
stack 10:    385 
stack 11:    386 
stack 12:    
stack 13:    
stack 14:    
stack 15:    15 218 391 18 16 
stack 16:    395 374 303 409 58 28 
stack 17:    17 633 205 563 427 147 
stack 18:    138 635 394 459 55 418 
stack 19:    399 447 450 121 260 26 
stack 20:    748 405 51 631 624 517 
stack 21:    313 107 622 229 567 44 
stack 22:    458 492 23 531 97 604 
stack 23:    686 634 191 25 338 551 
stack 24:    102 36 291 108 710 45 
stack 25:    401 477 404 429 442 216 
stack 26:    402 359 283 203 669 416 
stack 27:    327 228 301 468 430 489 
stack 28:    49 688 35 465 29 41 
stack 29:    167 629 31 273 87 76 
stack 30:    294 682 255 424 494 716 
stack 31:    721 586 574 144 470 120 
stack 32:    644 221 533 176 415 437 
stack 33:    571 358 259 64 512 252 
stack 34:    579 414 141 319 309 487 
stack 35:    511 411 137 420 740 550 
stack 36:    195 525 466 92 61 507 
stack 37:    42 613 316 646 142 77 
stack 38:    158 433 473 745 40 479 
stack 39:    96 91 226 43 182 717 
stack 40:    462 645 239 683 732 502 
stack 41:    356 174 709 129 245 553 
stack 42:    333 150 650 66 672 668 
stack 43:    612 703 521 222 341 715 
stack 44:    75 691 307 431 455 464 
stack 45:    652 52 580 561 329 544 
stack 46:    233 304 731 154 723 308 
stack 47:    127 275 178 95 578 207 
stack 48:    608 439 368 552 453 428 
stack 49:    321 713 369 365 343 708 
stack 50:    153 337 617 697 113 285 
stack 51:    719 680 727 164 482 588 
stack 52:    456 749 264 330 170 250 
stack 53:    602 518 485 711 180 118 
stack 54:    367 99 601 156 524 124 
stack 55:    89 438 204 519 526 657 
stack 56:    347 509 215 119 163 172 
stack 57:    210 109 79 475 441 295 
stack 58:    747 181 649 641 726 364 
stack 59:    346 353 177 305 700 266 
stack 60:    628 287 558 444 106 190 
stack 61:    662 572 224 593 298 541 
stack 62:    701 555 698 93 565 220 
stack 63:    495 284 648 349 214 317 
stack 64:    126 217 722 339 446 125 
stack 65:    679 718 695 705 735 334 
stack 66:    373 527 560 658 729 272 
stack 67:    302 457 168 299 300 187 
stack 68:    675 70 314 746 136 115 
stack 69:    363 357 493 725 449 160 
stack 70:    234 103 80 253 498 724 
stack 71:    594 88 237 556 461 478 
stack 72:    587 288 145 83 271 597 
stack 73:    585 609 592 707 626 372 
stack 74:    638 140 249 262 371 320 
stack 75:    375 0 
stack 76:    1 376 
stack 77:    377 2 
stack 78:    4 
stack 79:    379 
stack 80:    380 5 
stack 81:    6 381 
stack 82:    382 7 
stack 83:    384 
stack 84:    9 
stack 85:    10 
stack 86:    11 
stack 87:    387 12 
stack 88:    388 389 13 
stack 89:    390 14 
stack 90:    392 246 157 19 620 398 
stack 91:    651 24 37 46 188 50 
stack 92:    130 148 199 407 690 408 
stack 93:    396 21 417 22 393 20 
stack 94:    403 54 423 348 276 656 
stack 95:    175 413 56 534 69 655 
stack 96:    397 589 281 469 71 90 
stack 97:    471 256 671 257 131 39 
stack 98:    400 639 318 738 681 474 
stack 99:    201 582 32 292 516 666 
stack 100:    741 146 38 100 223 94 
stack 101:    460 425 618 238 105 670 
stack 102:    340 59 406 562 27 117 
stack 103:    421 123 739 72 472 104 
stack 104:    30 361 98 198 506 34 
stack 105:    676 422 269 432 110 520 
stack 106:    268 600 647 621 265 596 
stack 107:    595 33 412 678 548 197 
stack 108:    354 133 277 323 60 344 
stack 109:    310 134 139 240 101 463 
stack 110:    166 161 261 410 135 583 
stack 111:    573 232 419 685 82 610 
stack 112:    183 332 173 171 65 537 
stack 113:    243 616 451 576 712 86 
stack 114:    577 128 543 53 370 630 
stack 115:    505 663 84 335 603 185 
stack 116:    426 231 581 159 242 336 
stack 117:    734 68 179 674 251 659 
stack 118:    684 510 483 568 476 564 
stack 119:    467 549 654 434 523 211 
stack 120:    282 165 194 500 736 486 
stack 121:    484 209 47 623 63 360 
stack 122:    213 186 48 538 481 664 
stack 123:    677 530 733 488 619 270 
stack 124:    57 193 536 254 742 452 
stack 125:    143 225 508 575 514 67 
stack 126:    653 74 279 351 448 345 
stack 127:    274 311 247 636 350 73 
stack 128:    328 545 293 78 362 436 
stack 129:    235 155 590 169 230 554 
stack 130:    599 504 491 440 445 584 
stack 131:    202 435 542 744 490 660 
stack 132:    540 614 569 212 322 306 
stack 133:    227 480 737 535 152 325 
stack 134:    312 244 720 637 184 730 
stack 135:    625 85 547 606 62 326 
stack 136:    546 132 689 515 667 559 
stack 137:    513 528 331 607 151 206 
stack 138:    162 149 522 640 673 286 
stack 139:    728 532 693 687 196 566 
stack 140:    501 258 81 192 352 692 
stack 141:    112 189 236 627 208 570 
stack 142:    443 454 643 704 278 642 
stack 143:    503 366 499 114 557 263 
stack 144:    315 694 342 661 706 219 
stack 145:    355 714 296 290 248 267 
stack 146:    605 615 529 111 241 702 
stack 147:    122 611 696 591 200 497 
stack 148:    539 743 665 289 496 632 
stack 149:    699 598 116 297 324 280 
