solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 792,20 s
objective value: 1228870.36

stacks (top to bottom):
stack 0:    500 0 
stack 1:    
stack 2:    502 
stack 3:    3 
stack 4:    4 
stack 5:    5 
stack 6:    6 
stack 7:    507 
stack 8:    
stack 9:    10 9 
stack 10:    
stack 11:    11 
stack 12:    12 
stack 13:    13 
stack 14:    
stack 15:    
stack 16:    17 523 
stack 17:    19 18 22 458 519 
stack 18:    997 728 56 49 170 569 23 
stack 19:    668 108 790 817 987 760 295 
stack 20:    422 525 908 20 531 527 21 
stack 21:    689 187 84 524 661 92 733 
stack 22:    25 786 380 529 358 80 374 
stack 23:    29 544 930 587 528 685 837 
stack 24:    201 636 535 57 474 137 111 
stack 25:    627 568 751 813 404 687 920 
stack 26:    793 426 469 44 115 352 28 
stack 27:    860 347 982 27 822 30 410 
stack 28:    176 39 315 846 492 944 365 
stack 29:    995 589 441 693 992 110 43 
stack 30:    34 210 670 560 178 821 545 
stack 31:    713 184 300 209 336 922 557 
stack 32:    53 852 431 42 772 242 60 
stack 33:    81 665 119 253 371 898 224 
stack 34:    427 592 926 430 534 145 453 
stack 35:    861 580 45 864 322 978 67 
stack 36:    466 842 823 989 863 47 37 
stack 37:    164 346 705 222 572 112 200 
stack 38:    691 570 973 902 955 946 46 
stack 39:    802 123 553 360 915 340 244 
stack 40:    956 831 445 690 867 999 195 
stack 41:    890 158 61 675 227 497 625 
stack 42:    573 153 101 850 271 477 976 
stack 43:    444 815 873 204 377 738 727 
stack 44:    595 498 782 337 723 372 51 
stack 45:    577 767 307 151 547 429 891 
stack 46:    163 899 297 911 114 59 980 
stack 47:    457 941 894 579 96 857 313 
stack 48:    628 578 216 412 868 917 896 
stack 49:    768 889 451 679 293 71 731 
stack 50:    707 356 906 238 590 692 261 
stack 51:    844 757 93 563 411 64 226 
stack 52:    556 913 349 758 832 397 582 
stack 53:    446 72 708 414 177 745 859 
stack 54:    118 281 169 249 827 55 558 
stack 55:    483 858 949 107 186 419 750 
stack 56:    752 878 684 443 734 392 597 
stack 57:    344 486 952 386 167 803 243 
stack 58:    564 144 792 493 971 616 248 
stack 59:    883 742 421 843 646 936 624 
stack 60:    784 318 439 567 214 257 252 
stack 61:    182 102 607 729 251 994 276 
stack 62:    828 588 598 596 576 496 927 
stack 63:    461 585 330 452 799 292 196 
stack 64:    657 124 635 417 778 918 921 
stack 65:    741 68 267 277 343 135 462 
stack 66:    964 678 622 720 487 328 192 
stack 67:    409 207 485 901 783 719 428 
stack 68:    957 696 680 591 255 334 73 
stack 69:    390 613 246 943 87 789 121 
stack 70:    960 420 706 737 639 208 70 
stack 71:    841 369 299 970 695 798 288 
stack 72:    495 284 154 621 667 350 331 
stack 73:    714 811 197 655 312 658 317 
stack 74:    626 940 482 391 877 415 651 
stack 75:    984 221 367 988 459 205 794 
stack 76:    968 996 399 630 181 934 932 
stack 77:    324 326 325 838 152 769 805 
stack 78:    958 109 610 663 819 686 669 
stack 79:    450 830 654 264 106 438 449 
stack 80:    849 870 162 718 309 963 185 
stack 81:    398 604 981 791 602 335 644 
stack 82:    484 468 855 643 499 448 88 
stack 83:    629 180 865 142 416 298 348 
stack 84:    788 141 893 703 826 725 856 
stack 85:    754 779 321 165 304 395 781 
stack 86:    
stack 87:    501 1 
stack 88:    2 
stack 89:    503 
stack 90:    504 
stack 91:    505 
stack 92:    506 
stack 93:    7 
stack 94:    8 508 
stack 95:    509 
stack 96:    
stack 97:    510 511 
stack 98:    512 
stack 99:    513 
stack 100:    514 14 
stack 101:    15 515 
stack 102:    16 516 
stack 103:    518 530 520 537 517 132 26 
stack 104:    539 230 113 526 562 40 168 
stack 105:    260 218 480 522 442 652 305 
stack 106:    649 521 126 650 581 777 400 
stack 107:    694 869 379 33 759 125 875 
stack 108:    851 475 919 554 396 233 172 
stack 109:    912 32 710 682 353 770 903 
stack 110:    302 561 24 835 35 816 812 
stack 111:    193 688 532 491 609 780 681 
stack 112:    880 83 533 77 160 833 48 
stack 113:    600 259 229 762 895 63 888 
stack 114:    31 840 648 914 131 565 128 
stack 115:    476 761 599 219 291 66 41 
stack 116:    236 237 376 660 332 54 270 
stack 117:    97 345 263 403 339 806 796 
stack 118:    301 540 289 892 586 136 323 
stack 119:    583 641 408 548 662 697 333 
stack 120:    763 36 99 149 732 810 481 
stack 121:    405 546 199 853 234 543 904 
stack 122:    437 549 820 882 179 538 536 
stack 123:    183 872 551 541 89 603 38 
stack 124:    550 138 425 116 91 666 808 
stack 125:    653 357 265 389 366 839 361 
stack 126:    467 470 739 394 910 744 931 
stack 127:    542 766 104 735 146 319 463 
stack 128:    716 905 909 58 120 967 715 
stack 129:    907 671 150 979 274 212 215 
stack 130:    983 659 282 240 938 223 373 
stack 131:    157 231 401 717 647 601 975 
stack 132:    82 765 947 552 948 965 722 
stack 133:    286 95 916 62 50 736 198 
stack 134:    228 432 575 674 359 69 633 
stack 135:    341 355 937 712 86 117 310 
stack 136:    876 998 638 338 133 174 314 
stack 137:    52 618 90 434 611 566 423 
stack 138:    605 435 455 78 747 593 555 
stack 139:    245 632 388 900 465 642 775 
stack 140:    74 217 559 631 354 447 258 
stack 141:    953 488 283 206 673 327 785 
stack 142:    800 584 664 407 990 972 382 
stack 143:    748 166 424 929 879 637 701 
stack 144:    939 76 191 702 836 977 279 
stack 145:    385 614 489 105 130 287 951 
stack 146:    656 254 75 98 886 740 884 
stack 147:    959 362 974 384 993 203 294 
stack 148:    436 393 269 704 375 700 65 
stack 149:    381 173 698 351 885 571 250 
stack 150:    848 771 285 829 473 268 608 
stack 151:    273 871 814 494 928 134 247 
stack 152:    190 211 456 726 606 945 364 
stack 153:    241 804 316 935 924 724 709 
stack 154:    232 923 440 454 730 239 311 
stack 155:    574 818 942 159 950 308 925 
stack 156:    188 490 413 100 370 672 296 
stack 157:    175 278 256 825 147 743 139 
stack 158:    363 79 148 801 406 402 824 
stack 159:    764 103 773 478 342 194 854 
stack 160:    266 85 472 129 378 387 594 
stack 161:    94 797 933 881 991 329 834 
stack 162:    683 711 272 433 887 985 969 
stack 163:    787 615 471 807 776 640 845 
stack 164:    213 756 202 699 774 617 161 
stack 165:    171 954 753 619 189 966 755 
stack 166:    140 235 460 721 620 809 677 
stack 167:    479 866 862 280 225 874 220 
stack 168:    795 275 749 847 306 623 383 
stack 169:    897 368 634 962 612 986 262 
stack 170:    746 418 122 155 464 676 320 
stack 171:    961 143 290 127 645 156 303 
