solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 158,89 s
objective value: 310020.12

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    
stack 4:    
stack 5:    5 
stack 6:    6 
stack 7:    7 
stack 8:    258 
stack 9:    157 97 237 445 367 130 
stack 10:    262 111 55 214 10 32 19 
stack 11:    261 222 430 264 204 240 11 
stack 12:    269 14 22 196 301 384 68 
stack 13:    275 174 234 266 341 173 90 
stack 14:    393 79 277 220 218 439 207 
stack 15:    210 493 332 85 268 139 28 
stack 16:    378 408 368 267 146 145 363 
stack 17:    17 456 415 200 65 224 235 
stack 18:    383 158 221 63 452 143 49 
stack 19:    249 270 407 100 326 59 271 
stack 20:    330 231 350 278 71 103 484 
stack 21:    108 105 337 398 382 176 117 
stack 22:    110 305 135 142 53 166 412 
stack 23:    463 446 476 281 31 94 479 
stack 24:    274 190 248 296 150 27 460 
stack 25:    455 389 427 419 417 357 153 
stack 26:    284 96 201 38 151 385 54 
stack 27:    129 420 489 161 391 124 40 
stack 28:    29 39 99 203 45 30 138 
stack 29:    316 365 294 184 315 136 112 
stack 30:    360 144 61 469 336 355 440 
stack 31:    342 481 346 432 411 227 324 
stack 32:    133 286 223 191 91 356 194 
stack 33:    154 70 162 312 52 140 490 
stack 34:    483 298 292 226 35 109 246 
stack 35:    309 352 344 435 120 348 46 
stack 36:    185 404 93 64 141 74 328 
stack 37:    225 72 451 349 458 375 320 
stack 38:    116 380 448 334 69 164 291 
stack 39:    395 242 211 149 487 42 293 
stack 40:    450 78 495 67 318 314 390 
stack 41:    474 297 321 362 92 104 48 
stack 42:    77 373 127 247 137 73 168 
stack 43:    198 492 165 372 178 183 347 
stack 44:    1 0 250 
stack 45:    251 
stack 46:    252 253 2 
stack 47:    3 
stack 48:    254 4 
stack 49:    255 
stack 50:    256 
stack 51:    257 
stack 52:    8 
stack 53:    428 494 25 13 9 259 260 
stack 54:    486 405 377 239 400 177 478 
stack 55:    453 331 119 429 12 397 148 
stack 56:    131 263 424 107 386 473 128 
stack 57:    16 122 358 238 230 462 18 
stack 58:    265 199 15 152 480 423 26 
stack 59:    351 485 272 134 288 89 232 
stack 60:    98 313 229 51 422 381 371 
stack 61:    83 243 376 433 102 20 353 
stack 62:    215 279 477 273 205 379 488 
stack 63:    34 366 289 329 245 118 36 
stack 64:    115 414 475 219 317 442 307 
stack 65:    290 23 171 335 21 60 436 
stack 66:    406 147 24 387 454 193 87 
stack 67:    465 345 217 472 114 62 413 
stack 68:    41 188 76 468 244 498 457 
stack 69:    449 444 75 467 228 33 425 
stack 70:    123 322 202 276 441 285 84 
stack 71:    459 311 180 58 156 482 155 
stack 72:    388 280 179 354 396 241 106 
stack 73:    394 370 464 170 175 438 88 
stack 74:    343 325 295 195 491 426 43 
stack 75:    361 121 339 282 187 181 50 
stack 76:    470 236 113 101 80 302 169 
stack 77:    47 437 283 447 216 496 132 
stack 78:    403 44 37 392 192 421 306 
stack 79:    189 399 172 208 409 213 86 
stack 80:    310 499 159 186 323 416 471 
stack 81:    212 434 182 287 303 401 443 
stack 82:    327 431 466 82 299 338 300 
stack 83:    497 163 319 308 304 167 197 
stack 84:    233 461 57 66 126 95 81 
stack 85:    418 369 125 209 333 374 206 
stack 86:    364 410 402 56 359 160 340 
