solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 160,72 s
objective value: 310023.74

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    3 
stack 4:    254 
stack 5:    
stack 6:    6 
stack 7:    
stack 8:    258 
stack 9:    186 266 9 233 298 
stack 10:    10 13 20 469 354 499 434 
stack 11:    150 116 384 174 326 353 175 
stack 12:    472 494 265 37 264 16 476 
stack 13:    183 140 267 447 30 333 17 
stack 14:    268 102 28 113 25 316 360 
stack 15:    176 237 437 330 170 192 470 
stack 16:    340 249 246 270 106 47 229 
stack 17:    436 430 207 70 75 18 372 
stack 18:    46 322 387 78 418 337 29 
stack 19:    287 318 88 308 461 369 19 
stack 20:    343 158 84 300 101 492 67 
stack 21:    24 485 52 488 171 381 41 
stack 22:    274 439 272 319 296 403 339 
stack 23:    63 43 273 422 347 440 121 
stack 24:    95 277 111 193 285 368 442 
stack 25:    222 275 128 127 131 31 478 
stack 26:    214 412 294 40 33 444 135 
stack 27:    217 376 105 181 429 455 74 
stack 28:    94 48 490 394 129 221 458 
stack 29:    407 187 208 280 216 238 245 
stack 30:    355 297 465 388 466 160 69 
stack 31:    177 373 44 446 215 189 397 
stack 32:    378 241 35 463 151 416 357 
stack 33:    155 375 59 414 166 288 223 
stack 34:    248 392 395 441 172 346 324 
stack 35:    120 240 119 58 112 62 304 
stack 36:    483 104 147 487 232 425 313 
stack 37:    132 311 165 122 342 484 213 
stack 38:    451 358 71 379 125 315 464 
stack 39:    301 479 351 433 338 194 66 
stack 40:    91 475 203 307 302 467 162 
stack 41:    235 141 419 182 60 57 230 
stack 42:    204 227 93 159 126 100 130 
stack 43:    332 306 65 220 163 431 77 
stack 44:    250 0 
stack 45:    251 1 
stack 46:    2 
stack 47:    253 252 
stack 48:    4 
stack 49:    5 255 
stack 50:    256 
stack 51:    257 8 7 
stack 52:    259 
stack 53:    260 352 262 263 32 286 12 
stack 54:    269 11 404 261 133 99 145 
stack 55:    281 196 118 201 114 432 180 
stack 56:    400 139 482 79 344 107 211 
stack 57:    383 367 309 471 137 234 314 
stack 58:    278 320 14 205 108 21 348 
stack 59:    54 90 276 15 457 61 365 
stack 60:    143 45 452 225 197 459 393 
stack 61:    109 361 271 23 423 190 42 
stack 62:    142 87 329 231 53 495 110 
stack 63:    55 350 460 115 219 218 477 
stack 64:    82 134 188 198 226 22 456 
stack 65:    191 283 236 64 371 156 26 
stack 66:    209 428 124 345 317 72 206 
stack 67:    493 153 391 424 138 435 185 
stack 68:    382 202 363 195 89 328 282 
stack 69:    136 454 366 38 81 68 462 
stack 70:    406 292 146 486 76 27 496 
stack 71:    497 374 415 445 161 289 410 
stack 72:    179 50 279 426 362 86 489 
stack 73:    36 212 224 168 427 290 474 
stack 74:    421 167 117 468 386 408 244 
stack 75:    284 370 243 83 73 228 169 
stack 76:    199 305 149 295 401 336 96 
stack 77:    443 380 396 398 334 349 154 
stack 78:    327 123 481 34 420 480 148 
stack 79:    491 291 152 80 303 51 449 
stack 80:    473 321 312 200 310 331 405 
stack 81:    389 409 341 39 157 49 97 
stack 82:    293 164 413 242 417 239 103 
stack 83:    210 453 399 498 178 325 448 
stack 84:    377 335 92 85 247 323 359 
stack 85:    438 364 299 173 450 98 184 
stack 86:    402 56 390 356 385 144 411 
