instance,solver,time_limit,time,val,imp(abs),imp(%),time_to_best(s),iterations_to_best,total_iterations
500_120_5_00,LB,3600.0,-,281999.78,-,-,-,-,-
500_120_5_00,BinP,3600.0,1049.34,282013.16,-,-,-,-,-
500_120_5_00,3Idx,3600.0,3885.05,309278.68,-,-,-,-,-
500_120_5_00,GH,3600.0,0.01,318400.72,-,-,-,-,-
500_120_5_00,GH + HC,3600.0,166.61,282013.16,37787.0,12.0,56.31,15,65
500_120_5_01,LB,3600.0,-,281992.54,-,-,-,-,-
500_120_5_01,BinP,3600.0,692.29,281998.6,-,-,-,-,-
500_120_5_01,3Idx,3600.0,4074.16,305607.5,-,-,-,-,-
500_120_5_01,GH,3600.0,0.00,320606.56,-,-,-,-,-
500_120_5_01,GH + HC,3600.0,186.61,281998.6,38790.0,12.0,85.18,24,74
500_120_5_02,LB,3600.0,-,282008.2,-,-,-,-,-
500_120_5_02,BinP,3600.0,881.89,282015.52,-,-,-,-,-
500_120_5_02,3Idx,3600.0,3603.40,308620.66,-,-,-,-,-
500_120_5_02,GH,3600.0,0.00,320091.46,-,-,-,-,-
500_120_5_02,GH + HC,3600.0,172.2,282017.96,36855.0,12.0,65.574,19,69
500_120_5_03,LB,3600.0,-,281980.34,-,-,-,-,-
500_120_5_03,BinP,3600.0,583.37,281990.1,-,-,-,-,-
500_120_5_03,3Idx,3600.0,3895.49,304704.56,-,-,-,-,-
500_120_5_03,GH,3600.0,0.00,320073.28,-,-,-,-,-
500_120_5_03,GH + HC,3600.0,164.41,281990.1,36011.0,11.0,69.85,17,67
500_120_5_04,LB,3600.0,-,281998.6,-,-,-,-,-
500_120_5_04,BinP,3600.0,645.95,282009.54,-,-,-,-,-
500_120_5_04,GH,3600.0,0.00,320885.32,-,-,-,-,-
500_120_5_04,GH + HC,3600.0,167.52,282009.54,40815.0,13.0,73.743,23,73
500_120_5_05,LB,3600.0,-,281988.84,-,-,-,-,-
500_120_5_05,BinP,3600.0,935.18,281991.28,-,-,-,-,-
500_120_5_05,GH,3600.0,0.00,321176.2,-,-,-,-,-
