instance_type,time_limit,feasible_BinP,feasible_3Idx,best_known_BinP,best_known_3Idx,best_known_HC,perc_opt_3Idx,perc_opt_BinP,perc_opt_HC,avg_costs_BinP,avg_costs_3Idx,avg_costs_HC,avg_runtime_BinP,avg_runtime_3Idx,avg_runtime_HC,avg_perc_dev_from_best_known_BinP,avg_perc_dev_from_best_known_3Idx,avg_perc_dev_from_best_known_HC,avg_perc_dev_from_LB_best_known,avg_optimal_runtime_BinP,avg_optimal_runtime_3Idx,avg_optimal_runtime_HC,avg_perc_imp,avg_iter_to_best,avg_time_to_best,avg_iterations,
500_300_2,1800.0,20,20,20,20,20,100.0,100.0,100.0,129752.54,129752.54,129752.54,1081.29,531.43,427.23,0.0,0.0,0.0,0.019284,1081.29,531.43,427.23,50.14,38.45,226.37,88.45,
750_450_2,1800.0,0,20,0,7,13,unk.,unk.,unk.,---,407661.46,285541.95,---,1776.82,1742.34,---,42.766282,4e-06,0.014176,---,1711.97,---,50.97,68.45,1118.52,118.4,
1000_600_2,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,501928.56,---,---,2979.99,---,---,0.0,0.009994,---,---,---,51.04,101.35,2031.45,151.35,
500_201_3,3600.0,20,20,20,6,18,30.0,100.0,90.0,211714.68,236081.02,211714.99,1070.49,3472.25,263.27,0.0,11.509069,0.000143,0.007876,1070.49,3171.69,265.41,26.25,32.65,132.39,82.65,
750_300_3,1800.0,0,20,0,0,20,unk.,unk.,unk.,---,566599.19,473001.48,---,1807.26,629.4,---,19.787879,0.0,0.004233,---,---,---,26.2,33.85,305.77,83.85,
1000_401_3,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,832485.2,---,---,1792.1,---,---,0.0,0.003786,---,---,---,26.52,70.6,1083.19,120.6,
500_150_4,3600.0,20,19,20,0,18,0.0,100.0,90.0,256002.6,277849.53,256002.84,1002.34,3601.92,208.68,0.0,8.533933,9.5e-05,0.00485,1002.34,---,208.62,16.54,22.5,87.59,72.5,
750_226_4,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,567468.35,---,---,451.07,---,---,0.0,0.003003,---,---,---,17.04,27.5,207.31,77.5,
1000_300_4,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,1006898.1,---,---,1100.65,---,---,0.0,0.002018,---,---,---,16.59,37.2,546.36,87.2,
500_120_5,3600.0,20,13,20,0,19,0.0,100.0,95.0,282004.42,305376.37,282004.54,781.03,3795.66,172.91,0.0,8.287855,4.3e-05,0.003065,781.03,---,172.94,11.78,20.5,72.67,70.5,
750_180_5,3600.0,12,0,1,0,12,unk.,unk.,unk.,628097.05,---,628099.87,2390.08,---,377.12,0.003444,---,0.000136,0.001939,2095.65,---,374.7,11.91,25.9,168.69,75.9,
1000_240_5,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,1110926.01,---,---,858.11,---,---,0.0,0.001216,---,---,---,12.0,33.4,418.17,83.4,
500_101_6,3600.0,20,11,20,0,15,0.0,100.0,75.0,297969.79,319935.41,297970.83,642.71,3845.42,168.35,0.0,7.372282,0.000347,0.002392,642.71,---,169.9,9.42,22.9,73.7,72.9,
750_150_6,3600.0,18,0,5,0,14,unk.,unk.,unk.,667299.44,---,667301.38,2497.24,---,352.1,0.001526,---,0.000245,0.001622,2444.09,---,347.87,9.32,24.45,149.17,74.45,
1000_201_6,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,1177706.91,---,---,818.67,---,---,0.0,0.001102,---,---,---,9.41,27.7,367.87,77.7,
500_87_7,3600.0,20,2,20,0,12,0.0,100.0,60.0,310026.45,330744.03,310028.14,637.81,4110.79,161.51,0.0,6.682386,0.000546,0.002041,637.81,---,158.14,7.78,19.65,62.17,69.65,
750_130_7,3600.0,20,0,20,0,12,0.0,100.0,60.0,692250.21,---,692251.73,2161.56,---,348.7,0.0,---,0.000219,0.001028,2161.56,---,352.52,7.89,25.1,143.19,75.1,
1000_172_7,3600.0,0,0,0,0,20,unk.,unk.,unk.,---,---,1228865.05,---,---,788.61,---,---,0.0,0.000939,---,---,---,7.67,28.5,345.13,78.5,
