instance,solver,time,val
500_120_5_00,LB,-,281999.78
500_120_5_00,BinP,1053.87,282013.16
500_120_5_00,3Idx,1801.28,295541.92
500_120_5_00,GH,0.01,318667.36
500_120_5_01,LB,-,281992.54
500_120_5_01,BinP,687.21,281998.6
500_120_5_01,3Idx,1800.70,294000.32
500_120_5_01,GH,0.00,320521.72
500_120_5_02,LB,-,282008.2
500_120_5_02,BinP,873.45,282015.52
500_120_5_02,3Idx,1800.72,308692.2
500_120_5_02,GH,0.00,319412.74
500_120_5_03,LB,-,281980.34
500_120_5_03,BinP,586.58,281990.1
500_120_5_03,3Idx,1801.13,293695.98
500_120_5_03,GH,0.00,319618.78
500_120_5_04,LB,-,281998.6
500_120_5_04,BinP,642.05,282009.54
500_120_5_04,3Idx,1801.37,310296.92
500_120_5_04,GH,0.00,320758.06
500_120_5_05,LB,-,281988.84
500_120_5_05,BinP,928.31,281991.28
500_120_5_05,3Idx,1802.24,309981.88
500_120_5_05,GH,0.00,318976.42
500_120_5_06,LB,-,281996.16
500_120_5_06,BinP,738.88,282007.1
500_120_5_06,3Idx,1801.39,310581.82
500_120_5_06,GH,0.00,319473.34
500_120_5_07,LB,-,281996.16
500_120_5_07,BinP,1371.16,282003.48
500_120_5_07,3Idx,1800.96,311184.12
500_120_5_07,GH,0.00,319000.66
500_120_5_08,LB,-,281987.66
500_120_5_08,BinP,511.85,281992.54
500_120_5_08,3Idx,1801.61,297018.2
500_120_5_08,GH,0.00,318146.2
500_120_5_09,LB,-,281979.16
500_120_5_09,BinP,722.05,281981.6
500_120_5_09,3Idx,1801.57,297235.1
500_120_5_09,GH,0.00,319127.92
500_120_5_10,LB,-,282008.28
500_120_5_10,BinP,1018.22,282036.22
500_120_5_10,3Idx,1801.23,309394.14
500_120_5_10,GH,0.00,319400.62
500_120_5_11,LB,-,282016.78
500_120_5_11,BinP,764.29,282021.66
500_120_5_11,3Idx,1802.77,297076.28
500_120_5_11,GH,0.00,320412.64
500_120_5_12,LB,-,281991.28
500_120_5_12,BinP,683.32,281993.72
500_120_5_12,3Idx,1801.29,296728.1
500_120_5_12,GH,0.00,319121.86
500_120_5_13,LB,-,281982.78
500_120_5_13,BinP,603.23,282004.66
500_120_5_13,3Idx,1802.61,298404.68
500_120_5_13,GH,0.00,320000.56
500_120_5_14,LB,-,282000.96
500_120_5_14,BinP,691.26,282005.84
500_120_5_14,3Idx,1801.86,307499.64
500_120_5_14,GH,0.00,319327.9
500_120_5_15,LB,-,281992.46
500_120_5_15,BinP,1262.00,282004.66
500_120_5_15,3Idx,1801.20,296532.14
500_120_5_15,GH,0.00,318824.92
500_120_5_16,LB,-,282011.9
500_120_5_16,BinP,665.99,282019.22
500_120_5_16,3Idx,1802.87,299420.4
500_120_5_16,GH,0.00,319673.32
500_120_5_17,LB,-,281998.6
500_120_5_17,BinP,533.23,282003.48
500_120_5_17,3Idx,1801.21,297157.58
500_120_5_17,GH,0.00,318891.58
500_120_5_18,LB,-,281987.66
500_120_5_18,BinP,621.92,281996.16
500_120_5_18,3Idx,1801.41,293793.02
500_120_5_18,GH,0.00,321012.58
500_120_5_19,LB,-,281997.34
500_120_5_19,BinP,600.32,281999.78
500_120_5_19,3Idx,1801.56,311375.76
500_120_5_19,GH,0.00,319697.56
