solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 40.23 s
objective value: 255986.64

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    3 
stack 4:    4 
stack 5:    255 
stack 6:    256 
stack 7:    7 
stack 8:    258 
stack 9:    9 
stack 10:    10 
stack 11:    
stack 12:    262 
stack 13:    13 
stack 14:    
stack 15:    
stack 16:    
stack 17:    290 17 40 43 
stack 18:    18 23 270 268 
stack 19:    19 449 35 63 
stack 20:    234 21 282 20 
stack 21:    92 93 297 485 
stack 22:    28 310 186 279 
stack 23:    32 164 440 27 
stack 24:    276 77 353 434 
stack 25:    235 316 291 293 
stack 26:    277 278 281 65 
stack 27:    159 480 36 109 
stack 28:    163 45 437 302 
stack 29:    445 157 283 99 
stack 30:    394 57 55 89 
stack 31:    284 126 312 31 
stack 32:    342 413 41 465 
stack 33:    366 212 196 301 
stack 34:    60 378 152 436 
stack 35:    47 306 300 495 
stack 36:    58 470 357 307 
stack 37:    168 484 64 208 
stack 38:    430 420 207 48 
stack 39:    459 462 181 176 
stack 40:    155 51 324 388 
stack 41:    313 128 223 368 
stack 42:    392 104 129 370 
stack 43:    242 218 493 363 
stack 44:    119 248 161 108 
stack 45:    441 72 184 335 
stack 46:    464 215 139 424 
stack 47:    443 158 476 217 
stack 48:    112 61 195 122 
stack 49:    397 486 231 311 
stack 50:    303 153 401 175 
stack 51:    315 247 317 135 
stack 52:    127 377 136 52 
stack 53:    393 362 80 220 
stack 54:    149 375 383 309 
stack 55:    491 206 498 490 
stack 56:    327 185 240 124 
stack 57:    419 83 192 475 
stack 58:    209 319 473 454 
stack 59:    323 170 376 146 
stack 60:    402 76 106 399 
stack 61:    331 386 320 236 
stack 62:    333 429 145 426 
stack 63:    451 389 142 380 
stack 64:    348 398 372 118 
stack 65:    453 71 379 467 
stack 66:    384 165 116 132 
stack 67:    191 233 455 444 
stack 68:    102 369 87 460 
stack 69:    193 396 204 371 
stack 70:    341 194 74 360 
stack 71:    214 385 133 143 
stack 72:    349 249 182 148 
stack 73:    105 432 189 97 
stack 74:    169 110 361 488 
stack 75:    0 250 
stack 76:    251 1 
stack 77:    2 252 
stack 78:    253 
stack 79:    254 
stack 80:    5 
stack 81:    6 
stack 82:    257 
stack 83:    8 259 
stack 84:    
stack 85:    260 
stack 86:    11 
stack 87:    261 12 
stack 88:    263 
stack 89:    264 14 
stack 90:    15 265 
stack 91:    30 84 266 16 
stack 92:    134 314 26 267 
stack 93:    24 427 294 269 
stack 94:    271 44 274 280 
stack 95:    183 38 296 39 
stack 96:    70 22 245 275 
stack 97:    332 49 288 272 
stack 98:    75 273 408 359 
stack 99:    347 286 100 391 
stack 100:    25 180 433 285 
stack 101:    33 337 237 59 
stack 102:    364 42 239 322 
stack 103:    355 29 162 46 
stack 104:    138 417 37 345 
stack 105:    211 34 415 113 
stack 106:    351 292 140 228 
stack 107:    390 287 343 225 
stack 108:    474 289 447 114 
stack 109:    298 203 299 481 
stack 110:    221 166 295 329 
stack 111:    137 50 188 439 
stack 112:    308 483 205 86 
stack 113:    94 147 224 305 
stack 114:    414 78 56 479 
stack 115:    334 406 178 67 
stack 116:    160 54 489 468 
stack 117:    328 85 421 53 
stack 118:    226 358 229 325 
stack 119:    461 144 244 73 
stack 120:    91 304 115 338 
stack 121:    463 469 171 356 
stack 122:    412 450 210 457 
stack 123:    423 167 321 190 
stack 124:    382 66 496 318 
stack 125:    222 410 409 418 
stack 126:    216 246 213 131 
stack 127:    374 141 117 438 
stack 128:    96 373 68 111 
stack 129:    88 241 492 381 
stack 130:    121 446 405 98 
stack 131:    120 62 365 227 
stack 132:    416 442 466 499 
stack 133:    428 472 435 79 
stack 134:    478 199 354 103 
stack 135:    130 154 90 344 
stack 136:    201 471 482 336 
stack 137:    330 179 123 448 
stack 138:    403 187 456 238 
stack 139:    69 156 95 82 
stack 140:    395 200 400 458 
stack 141:    326 494 487 150 
stack 142:    101 107 125 177 
stack 143:    352 367 477 425 
stack 144:    431 243 346 404 
stack 145:    452 219 350 230 
stack 146:    339 197 173 407 
stack 147:    411 202 174 497 
stack 148:    422 232 81 198 
stack 149:    151 387 340 172 
