solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 17.17 s
objective value: 255997.58

stacks (top to bottom):
stack 0:    0 
stack 1:    1 
stack 2:    2 
stack 3:    3 
stack 4:    4 
stack 5:    
stack 6:    
stack 7:    
stack 8:    8 
stack 9:    
stack 10:    10 
stack 11:    261 
stack 12:    12 
stack 13:    
stack 14:    
stack 15:    265 
stack 16:    267 16 
stack 17:    22 43 175 268 
stack 18:    284 85 25 273 
stack 19:    26 288 269 356 
stack 20:    350 345 299 442 
stack 21:    230 63 317 114 
stack 22:    30 225 113 439 
stack 23:    32 422 282 486 
stack 24:    71 134 133 285 
stack 25:    318 130 228 496 
stack 26:    353 33 301 200 
stack 27:    450 58 469 29 
stack 28:    152 313 463 111 
stack 29:    410 489 280 435 
stack 30:    65 328 116 472 
stack 31:    474 458 390 182 
stack 32:    304 211 366 391 
stack 33:    468 287 204 465 
stack 34:    37 416 172 443 
stack 35:    331 66 324 56 
stack 36:    167 460 36 326 
stack 37:    62 154 86 385 
stack 38:    374 54 74 425 
stack 39:    451 294 414 433 
stack 40:    490 478 298 407 
stack 41:    249 292 61 51 
stack 42:    495 382 244 169 
stack 43:    447 46 408 70 
stack 44:    444 321 223 246 
stack 45:    197 241 171 438 
stack 46:    481 50 329 96 
stack 47:    404 398 476 325 
stack 48:    48 227 69 189 
stack 49:    327 233 482 384 
stack 50:    417 315 319 494 
stack 51:    164 138 203 312 
stack 52:    367 75 237 311 
stack 53:    434 348 78 436 
stack 54:    112 174 126 320 
stack 55:    477 338 352 308 
stack 56:    432 381 371 394 
stack 57:    396 90 393 192 
stack 58:    166 236 491 144 
stack 59:    247 119 323 67 
stack 60:    155 82 316 372 
stack 61:    158 198 135 210 
stack 62:    484 149 205 467 
stack 63:    314 475 379 346 
stack 64:    456 207 110 64 
stack 65:    186 108 375 235 
stack 66:    369 91 248 483 
stack 67:    179 234 79 449 
stack 68:    427 102 105 153 
stack 69:    388 199 147 403 
stack 70:    226 100 334 471 
stack 71:    332 99 448 163 
stack 72:    220 143 109 216 
stack 73:    191 333 341 160 
stack 74:    335 98 146 131 
stack 75:    250 
stack 76:    251 
stack 77:    252 
stack 78:    253 
stack 79:    254 
stack 80:    5 255 
stack 81:    6 
stack 82:    257 7 256 258 
stack 83:    
stack 84:    9 259 
stack 85:    260 
stack 86:    
stack 87:    11 262 
stack 88:    13 263 
stack 89:    14 264 
stack 90:    15 
stack 91:    18 266 
stack 92:    19 17 162 21 
stack 93:    271 224 452 20 
stack 94:    277 276 24 27 
stack 95:    270 454 178 28 
stack 96:    118 420 272 355 
stack 97:    42 23 106 297 
stack 98:    31 275 293 40 
stack 99:    274 418 411 413 
stack 100:    214 38 392 279 
stack 101:    150 305 419 363 
stack 102:    52 303 34 278 
stack 103:    307 487 283 383 
stack 104:    387 395 441 89 
stack 105:    402 286 35 296 
stack 106:    281 47 397 295 
stack 107:    239 57 81 165 
stack 108:    457 123 73 53 
stack 109:    360 68 217 72 
stack 110:    492 361 39 107 
stack 111:    431 290 406 44 
stack 112:    208 124 45 188 
stack 113:    49 289 180 497 
stack 114:    104 41 336 60 
stack 115:    183 209 309 364 
stack 116:    300 219 291 376 
stack 117:    240 95 347 400 
stack 118:    222 201 137 488 
stack 119:    386 339 97 170 
stack 120:    156 94 378 479 
stack 121:    462 121 173 461 
stack 122:    141 306 157 373 
stack 123:    464 83 455 242 
stack 124:    213 55 426 87 
stack 125:    302 101 310 221 
stack 126:    470 493 59 368 
stack 127:    429 140 351 195 
stack 128:    445 349 120 128 
stack 129:    446 196 177 129 
stack 130:    231 142 377 415 
stack 131:    337 92 88 168 
stack 132:    127 84 340 132 
stack 133:    358 136 185 245 
stack 134:    115 243 499 354 
stack 135:    232 76 405 357 
stack 136:    370 215 362 437 
stack 137:    365 421 480 187 
stack 138:    181 125 389 466 
stack 139:    212 399 473 424 
stack 140:    423 103 77 498 
stack 141:    193 122 194 190 
stack 142:    344 159 330 93 
stack 143:    145 485 440 218 
stack 144:    380 401 148 139 
stack 145:    80 409 202 430 
stack 146:    453 117 322 412 
stack 147:    151 342 161 238 
stack 148:    176 359 229 184 
stack 149:    343 206 428 459 
