solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 35.29 s
objective value: 256012.14

stacks (top to bottom):
stack 0:    0 250 
stack 1:    1 
stack 2:    2 252 
stack 3:    
stack 4:    
stack 5:    5 6 
stack 6:    
stack 7:    257 
stack 8:    
stack 9:    259 
stack 10:    
stack 11:    10 
stack 12:    12 
stack 13:    13 
stack 14:    
stack 15:    
stack 16:    266 
stack 17:    269 19 267 353 
stack 18:    469 176 128 268 
stack 19:    177 288 270 227 
stack 20:    271 25 320 488 
stack 21:    377 110 242 22 
stack 22:    289 24 51 209 
stack 23:    26 38 354 273 
stack 24:    310 418 37 282 
stack 25:    39 472 62 153 
stack 26:    456 278 40 29 
stack 27:    452 329 277 100 
stack 28:    312 422 216 281 
stack 29:    437 280 446 323 
stack 30:    52 44 292 241 
stack 31:    492 50 303 122 
stack 32:    460 308 76 368 
stack 33:    58 245 417 302 
stack 34:    296 309 284 92 
stack 35:    286 489 287 160 
stack 36:    319 112 178 466 
stack 37:    102 383 496 88 
stack 38:    116 213 108 198 
stack 39:    450 322 149 204 
stack 40:    299 325 487 42 
stack 41:    293 379 126 93 
stack 42:    373 363 350 162 
stack 43:    43 184 238 185 
stack 44:    412 386 214 54 
stack 45:    374 330 352 433 
stack 46:    179 361 237 81 
stack 47:    364 218 359 117 
stack 48:    474 77 301 248 
stack 49:    142 119 85 186 
stack 50:    63 398 249 64 
stack 51:    372 356 360 481 
stack 52:    348 306 473 99 
stack 53:    183 434 334 197 
stack 54:    171 194 463 105 
stack 55:    362 55 451 384 
stack 56:    203 471 484 394 
stack 57:    443 172 226 378 
stack 58:    205 467 167 369 
stack 59:    315 444 435 97 
stack 60:    381 357 107 135 
stack 61:    106 436 123 345 
stack 62:    181 192 423 428 
stack 63:    67 478 426 409 
stack 64:    344 78 349 400 
stack 65:    156 392 168 441 
stack 66:    66 317 90 72 
stack 67:    71 351 328 442 
stack 68:    390 190 164 193 
stack 69:    336 229 498 413 
stack 70:    187 427 215 206 
stack 71:    211 127 482 189 
stack 72:    494 419 114 208 
stack 73:    403 231 170 139 
stack 74:    388 130 195 207 
stack 75:    
stack 76:    251 
stack 77:    
stack 78:    253 3 
stack 79:    254 4 
stack 80:    255 
stack 81:    
stack 82:    7 256 
stack 83:    8 258 
stack 84:    9 
stack 85:    260 
stack 86:    261 
stack 87:    262 11 
stack 88:    263 
stack 89:    264 14 
stack 90:    265 
stack 91:    225 15 358 16 
stack 92:    132 17 18 23 
stack 93:    48 274 318 20 
stack 94:    305 283 27 201 
stack 95:    272 279 45 21 
stack 96:    33 150 393 275 
stack 97:    300 407 233 36 
stack 98:    70 56 311 101 
stack 99:    304 243 276 370 
stack 100:    28 298 397 285 
stack 101:    31 291 365 429 
stack 102:    490 430 94 30 
stack 103:    34 223 212 331 
stack 104:    314 199 228 35 
stack 105:    497 96 46 431 
stack 106:    459 57 143 338 
stack 107:    32 333 200 210 
stack 108:    475 432 462 382 
stack 109:    307 41 297 146 
stack 110:    73 104 169 222 
stack 111:    457 294 113 145 
stack 112:    438 154 411 61 
stack 113:    74 341 155 240 
stack 114:    376 355 151 491 
stack 115:    234 290 495 399 
stack 116:    367 235 486 401 
stack 117:    313 295 476 415 
stack 118:    175 137 49 445 
stack 119:    109 163 391 346 
stack 120:    219 144 60 83 
stack 121:    138 453 448 404 
stack 122:    47 416 455 217 
stack 123:    458 98 129 485 
stack 124:    82 232 65 425 
stack 125:    371 95 387 134 
stack 126:    343 59 375 53 
stack 127:    465 440 141 87 
stack 128:    244 337 385 499 
stack 129:    389 406 420 340 
stack 130:    148 152 140 124 
stack 131:    75 111 79 342 
stack 132:    173 133 230 366 
stack 133:    247 421 202 468 
stack 134:    103 91 166 461 
stack 135:    159 470 477 182 
stack 136:    157 196 405 165 
stack 137:    236 395 483 125 
stack 138:    396 480 221 464 
stack 139:    327 447 493 86 
stack 140:    321 188 335 424 
stack 141:    84 131 147 316 
stack 142:    410 339 326 118 
stack 143:    115 69 80 68 
stack 144:    180 161 479 120 
stack 145:    332 158 380 89 
stack 146:    454 324 220 449 
stack 147:    136 174 246 347 
stack 148:    414 408 239 224 
stack 149:    439 121 191 402 
