instance,solver,time,val
500_150_4_00,GH,0.01,309389.5
500_150_4_00,OPT,826.44,255991.52
500_150_4_00,3Cap + TS,44.41,255991.52
500_150_4_01,GH,0.00,305177.8
500_150_4_01,OPT,1249.44,255995.14
500_150_4_01,3Cap + TS,26.36,255995.14
500_150_4_02,GH,0.00,305486.86
500_150_4_02,OPT,1503.59,256013.4
500_150_4_02,3Cap + TS,25.12,256013.4
500_150_4_03,GH,0.00,308759.26
500_150_4_03,OPT,1204.69,255990.26
500_150_4_03,3Cap + TS,323.98,255996.32
500_150_4_04,GH,0.00,305874.7
500_150_4_04,OPT,843.12,255986.64
500_150_4_04,3Cap + TS,40.23,255986.64
500_150_4_05,GH,0.00,306383.74
500_150_4_05,OPT,875.51,256000.02
500_150_4_05,3Cap + TS,189.23,256008.52
500_150_4_06,GH,0.00,307068.52
500_150_4_06,OPT,738.57,255992.7
500_150_4_06,3Cap + TS,221.36,255995.14
500_150_4_07,GH,0.00,303244.66
500_150_4_07,OPT,876.92,255989.08
500_150_4_07,3Cap + TS,205.95,255991.52
500_150_4_08,GH,0.00,305177.8
500_150_4_08,OPT,752.01,256029.06
500_150_4_08,3Cap + TS,18.51,256029.06
500_150_4_09,GH,0.00,306735.22
500_150_4_09,OPT,791.11,256009.7
500_150_4_09,3Cap + TS,19.79,256009.7
500_150_4_10,GH,0.00,304917.22
500_150_4_10,OPT,1077.58,256033.94
500_150_4_10,3Cap + TS,194.95,256035.2
500_150_4_11,GH,0.00,307571.5
500_150_4_11,OPT,1343.83,255975.7
500_150_4_11,3Cap + TS,204.32,255978.14
500_150_4_12,GH,0.00,305911.06
500_150_4_12,OPT,887.1,255995.14
500_150_4_12,3Cap + TS,195.49,255997.58
500_150_4_13,GH,0.00,306898.84
500_150_4_13,OPT,1203.62,255997.58
500_150_4_13,3Cap + TS,17.17,255997.58
500_150_4_14,GH,0.00,308238.1
500_150_4_14,OPT,754.86,256009.7
500_150_4_14,3Cap + TS,205.8,256012.14
500_150_4_15,GH,0.00,305929.24
500_150_4_15,OPT,661.41,255993.88
500_150_4_15,3Cap + TS,17.35,255993.88
500_150_4_16,GH,0.00,309716.74
500_150_4_16,OPT,1073.11,256013.24
500_150_4_16,3Cap + TS,22.64,256013.24
500_150_4_17,GH,0.00,306953.38
500_150_4_17,OPT,1059.65,255986.64
500_150_4_17,3Cap + TS,19.24,255986.64
500_150_4_18,GH,0.00,307444.24
500_150_4_18,OPT,701.57,256012.14
500_150_4_18,3Cap + TS,35.29,256012.14
500_150_4_19,GH,0.00,306159.52
500_150_4_19,OPT,738.31,256020.64
500_150_4_19,3Cap + TS,20.97,256020.64
