solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 170.27 s
objective value: 282022.84

stacks (top to bottom):
stack 0:    
stack 1:    251 
stack 2:    
stack 3:    
stack 4:    
stack 5:    254 
stack 6:    256 
stack 7:    7 
stack 8:    
stack 9:    258 259 
stack 10:    10 
stack 11:    
stack 12:    11 
stack 13:    14 13 269 461 201 
stack 14:    23 331 264 453 37 
stack 15:    266 454 267 288 139 
stack 16:    498 17 124 131 16 
stack 17:    18 24 123 245 278 
stack 18:    280 282 92 166 366 
stack 19:    173 401 354 353 270 
stack 20:    469 308 193 35 234 
stack 21:    271 21 192 447 343 
stack 22:    38 494 473 154 372 
stack 23:    32 26 284 273 279 
stack 24:    334 47 398 283 34 
stack 25:    44 217 83 121 340 
stack 26:    205 51 52 158 218 
stack 27:    403 211 215 58 191 
stack 28:    459 49 106 482 429 
stack 29:    352 321 120 341 119 
stack 30:    151 226 430 460 157 
stack 31:    316 179 360 59 335 
stack 32:    236 386 434 369 249 
stack 33:    319 325 244 99 100 
stack 34:    178 184 318 362 129 
stack 35:    81 367 468 339 490 
stack 36:    159 150 495 397 486 
stack 37:    404 345 53 433 85 
stack 38:    368 462 477 227 148 
stack 39:    90 289 61 298 488 
stack 40:    196 116 407 140 475 
stack 41:    491 467 292 294 147 
stack 42:    365 144 204 471 128 
stack 43:    199 46 64 169 336 
stack 44:    388 300 98 361 167 
stack 45:    313 180 418 425 136 
stack 46:    202 165 246 73 138 
stack 47:    370 237 162 222 125 
stack 48:    76 306 377 101 111 
stack 49:    327 302 301 317 329 
stack 50:    207 238 323 183 160 
stack 51:    464 440 320 443 187 
stack 52:    428 309 466 382 79 
stack 53:    395 470 62 304 348 
stack 54:    216 480 456 324 373 
stack 55:    145 457 424 142 171 
stack 56:    248 406 497 231 182 
stack 57:    391 96 126 485 359 
stack 58:    312 379 394 378 224 
stack 59:    137 223 410 414 435 
stack 60:    250 0 
stack 61:    2 1 
stack 62:    252 
stack 63:    3 
stack 64:    253 4 
stack 65:    255 5 
stack 66:    6 
stack 67:    257 
stack 68:    8 
stack 69:    9 
stack 70:    260 
stack 71:    12 261 
stack 72:    458 479 487 262 135 
stack 73:    263 163 27 277 36 
stack 74:    213 265 450 19 168 
stack 75:    22 78 281 15 28 
stack 76:    492 392 333 287 474 
stack 77:    30 268 94 109 228 
stack 78:    489 274 402 396 77 
stack 79:    31 422 446 20 272 
stack 80:    286 346 355 296 40 
stack 81:    45 132 29 212 356 
stack 82:    285 371 43 405 208 
stack 83:    71 56 276 68 102 
stack 84:    197 478 25 82 275 
stack 85:    493 387 393 441 483 
stack 86:    110 63 330 174 33 
stack 87:    48 75 50 54 291 
stack 88:    419 399 444 97 219 
stack 89:    118 420 41 104 86 
stack 90:    417 307 337 383 332 
stack 91:    115 232 225 55 342 
stack 92:    347 198 89 299 476 
stack 93:    206 390 349 39 42 
stack 94:    221 293 189 103 415 
stack 95:    74 200 363 314 411 
stack 96:    445 426 247 437 91 
stack 97:    164 328 66 93 290 
stack 98:    195 214 358 439 170 
stack 99:    149 322 326 155 127 
stack 100:    113 112 499 451 448 
stack 101:    442 80 133 185 122 
stack 102:    452 240 376 175 423 
stack 103:    172 297 409 364 305 
stack 104:    152 95 188 389 177 
stack 105:    381 380 295 455 412 
stack 106:    449 108 105 496 233 
stack 107:    344 72 230 374 65 
stack 108:    472 315 408 87 242 
stack 109:    203 427 303 463 190 
stack 110:    235 209 384 375 243 
stack 111:    107 84 220 57 310 
stack 112:    385 436 431 194 176 
stack 113:    114 130 421 153 181 
stack 114:    161 416 134 239 241 
stack 115:    88 229 350 143 60 
stack 116:    357 400 311 481 70 
stack 117:    465 432 141 67 146 
stack 118:    438 117 210 156 351 
stack 119:    338 484 413 186 69 
