solved with: SP.post_optimization_methods.LocalSearch
time limit: 2700.0 s
time to solve: 109.00 s
objective value: 211728.1

stacks (top to bottom):
stack 0:    
stack 1:    1 
stack 2:    252 
stack 3:    3 
stack 4:    4 
stack 5:    
stack 6:    6 
stack 7:    256 
stack 8:    258 
stack 9:    259 
stack 10:    260 
stack 11:    11 
stack 12:    
stack 13:    262 
stack 14:    265 264 
stack 15:    15 
stack 16:    266 
stack 17:    
stack 18:    
stack 19:    269 
stack 20:    
stack 21:    271 
stack 22:    272 22 
stack 23:    
stack 24:    274 
stack 25:    27 
stack 26:    26 276 130 
stack 27:    30 479 28 
stack 28:    31 29 278 
stack 29:    59 215 58 
stack 30:    33 143 32 
stack 31:    36 455 37 
stack 32:    285 194 282 
stack 33:    218 283 284 
stack 34:    49 498 45 
stack 35:    57 230 55 
stack 36:    287 286 422 
stack 37:    295 229 297 
stack 38:    296 438 291 
stack 39:    393 81 68 
stack 40:    373 457 299 
stack 41:    294 118 293 
stack 42:    397 307 305 
stack 43:    410 323 322 
stack 44:    321 185 376 
stack 45:    304 449 303 
stack 46:    319 411 318 
stack 47:    64 65 396 
stack 48:    453 66 71 
stack 49:    324 448 447 
stack 50:    408 76 80 
stack 51:    317 316 186 
stack 52:    160 161 465 
stack 53:    99 413 98 
stack 54:    199 174 90 
stack 55:    338 175 325 
stack 56:    85 84 404 
stack 57:    101 103 170 
stack 58:    74 392 75 
stack 59:    129 88 89 
stack 60:    328 406 79 
stack 61:    334 399 335 
stack 62:    405 78 77 
stack 63:    82 83 403 
stack 64:    157 345 102 
stack 65:    427 339 369 
stack 66:    477 191 190 
stack 67:    363 132 216 
stack 68:    162 409 249 
stack 69:    414 105 347 
stack 70:    371 204 452 
stack 71:    463 181 468 
stack 72:    94 348 352 
stack 73:    243 424 119 
stack 74:    443 133 137 
stack 75:    356 357 240 
stack 76:    205 242 202 
stack 77:    359 244 358 
stack 78:    351 238 223 
stack 79:    492 213 212 
stack 80:    165 368 459 
stack 81:    201 366 197 
stack 82:    153 154 336 
stack 83:    110 108 419 
stack 84:    228 193 192 
stack 85:    362 431 134 
stack 86:    140 184 474 
stack 87:    208 141 235 
stack 88:    224 349 441 
stack 89:    111 109 425 
stack 90:    158 173 178 
stack 91:    421 210 493 
stack 92:    187 444 370 
stack 93:    146 402 147 
stack 94:    231 128 233 
stack 95:    196 487 126 
stack 96:    171 169 456 
stack 97:    461 156 391 
stack 98:    483 206 207 
stack 99:    381 195 379 
stack 100:    150 440 151 
stack 101:    250 0 
stack 102:    251 
stack 103:    2 
stack 104:    253 
stack 105:    5 254 
stack 106:    255 
stack 107:    
stack 108:    7 257 
stack 109:    8 
stack 110:    
stack 111:    10 9 
stack 112:    261 
stack 113:    12 
stack 114:    263 13 
stack 115:    14 
stack 116:    
stack 117:    16 
stack 118:    17 267 
stack 119:    18 268 
stack 120:    19 
stack 121:    270 20 
stack 122:    21 
stack 123:    
stack 124:    23 
stack 125:    273 24 
stack 126:    25 275 
stack 127:    280 211 277 
stack 128:    279 155 281 
stack 129:    42 496 40 
stack 130:    499 34 35 
stack 131:    38 232 41 
stack 132:    418 47 48 
stack 133:    53 220 51 
stack 134:    43 39 482 
stack 135:    450 44 46 
stack 136:    56 469 54 
stack 137:    179 52 50 
stack 138:    289 486 288 
stack 139:    494 292 290 
stack 140:    302 300 394 
stack 141:    430 314 315 
stack 142:    61 63 390 
stack 143:    149 306 301 
stack 144:    298 311 93 
stack 145:    60 62 389 
stack 146:    221 313 312 
stack 147:    67 446 86 
stack 148:    125 73 72 
stack 149:    344 346 437 
stack 150:    309 491 308 
stack 151:    350 225 166 
stack 152:    87 189 331 
stack 153:    412 97 95 
stack 154:    340 248 342 
stack 155:    327 490 326 
stack 156:    470 341 343 
stack 157:    488 329 332 
stack 158:    367 489 429 
stack 159:    69 70 395 
stack 160:    310 96 417 
stack 161:    333 330 188 
stack 162:    239 478 209 
stack 163:    398 415 92 
stack 164:    217 360 361 
stack 165:    435 353 163 
stack 166:    473 176 180 
stack 167:    164 387 451 
stack 168:    121 148 484 
stack 169:    123 122 432 
stack 170:    374 320 247 
stack 171:    464 416 172 
stack 172:    198 439 144 
stack 173:    436 480 145 
stack 174:    458 168 167 
stack 175:    495 222 236 
stack 176:    245 246 364 
stack 177:    106 423 107 
stack 178:    131 365 354 
stack 179:    219 234 237 
stack 180:    116 117 426 
stack 181:    214 124 400 
stack 182:    182 183 467 
stack 183:    380 407 378 
stack 184:    434 481 127 
stack 185:    355 420 241 
stack 186:    428 471 337 
stack 187:    476 462 497 
stack 188:    115 472 114 
stack 189:    485 384 385 
stack 190:    475 200 91 
stack 191:    383 454 382 
stack 192:    113 226 227 
stack 193:    142 139 460 
stack 194:    138 442 159 
stack 195:    445 377 375 
stack 196:    120 386 388 
stack 197:    466 152 100 
stack 198:    136 135 433 
stack 199:    372 112 203 
stack 200:    104 177 401 
