solved with: SP.post_optimization_methods.LocalSearch
time limit: 2700.0 s
time to solve: 28.73 s
objective value: 211723.22

stacks (top to bottom):
stack 0:    250 
stack 1:    
stack 2:    252 
stack 3:    
stack 4:    254 
stack 5:    5 
stack 6:    6 256 
stack 7:    
stack 8:    7 8 
stack 9:    9 
stack 10:    260 
stack 11:    
stack 12:    262 
stack 13:    
stack 14:    264 
stack 15:    15 
stack 16:    266 16 
stack 17:    
stack 18:    268 
stack 19:    
stack 20:    20 
stack 21:    
stack 22:    
stack 23:    
stack 24:    24 274 
stack 25:    
stack 26:    28 282 439 
stack 27:    27 29 31 
stack 28:    448 278 281 
stack 29:    51 52 168 
stack 30:    54 222 53 
stack 31:    50 444 36 
stack 32:    40 386 41 
stack 33:    283 458 176 
stack 34:    284 456 285 
stack 35:    58 248 55 
stack 36:    43 42 169 
stack 37:    69 180 68 
stack 38:    329 290 289 
stack 39:    177 59 60 
stack 40:    291 488 292 
stack 41:    466 293 294 
stack 42:    316 313 467 
stack 43:    308 307 486 
stack 44:    67 66 387 
stack 45:    314 301 175 
stack 46:    315 318 423 
stack 47:    323 322 379 
stack 48:    63 392 65 
stack 49:    78 395 76 
stack 50:    137 138 426 
stack 51:    389 75 419 
stack 52:    79 82 394 
stack 53:    84 81 393 
stack 54:    327 493 214 
stack 55:    330 430 331 
stack 56:    202 468 201 
stack 57:    103 408 102 
stack 58:    165 446 164 
stack 59:    342 343 434 
stack 60:    403 100 101 
stack 61:    95 404 93 
stack 62:    203 197 471 
stack 63:    234 340 341 
stack 64:    91 92 396 
stack 65:    139 428 145 
stack 66:    88 397 85 
stack 67:    113 112 348 
stack 68:    151 150 436 
stack 69:    235 337 335 
stack 70:    421 131 132 
stack 71:    360 361 451 
stack 72:    459 198 194 
stack 73:    157 433 156 
stack 74:    496 355 357 
stack 75:    247 246 494 
stack 76:    212 472 215 
stack 77:    122 415 123 
stack 78:    498 245 244 
stack 79:    413 126 127 
stack 80:    229 481 378 
stack 81:    363 450 365 
stack 82:    445 195 191 
stack 83:    166 167 452 
stack 84:    243 495 242 
stack 85:    438 162 161 
stack 86:    159 158 440 
stack 87:    409 118 116 
stack 88:    437 121 417 
stack 89:    154 155 449 
stack 90:    199 200 462 
stack 91:    183 470 356 
stack 92:    209 478 208 
stack 93:    120 171 172 
stack 94:    420 144 143 
stack 95:    373 377 228 
stack 96:    407 115 114 
stack 97:    463 206 207 
stack 98:    187 381 384 
stack 99:    149 147 435 
stack 100:    160 163 441 
stack 101:    0 
stack 102:    1 
stack 103:    251 2 
stack 104:    3 
stack 105:    4 253 
stack 106:    
stack 107:    255 
stack 108:    257 
stack 109:    258 
stack 110:    259 
stack 111:    10 
stack 112:    261 11 
stack 113:    12 
stack 114:    13 263 
stack 115:    14 
stack 116:    265 
stack 117:    
stack 118:    17 267 
stack 119:    18 
stack 120:    269 
stack 121:    270 19 
stack 122:    21 271 
stack 123:    22 272 
stack 124:    23 273 
stack 125:    25 
stack 126:    275 277 
stack 127:    280 276 26 
stack 128:    279 297 489 
stack 129:    223 30 33 
stack 130:    249 45 44 
stack 131:    32 38 39 
stack 132:    287 34 447 
stack 133:    485 49 48 
stack 134:    226 35 37 
stack 135:    57 497 241 
stack 136:    47 46 237 
stack 137:    288 474 286 
stack 138:    62 227 61 
stack 139:    232 305 306 
stack 140:    298 233 295 
stack 141:    296 300 492 
stack 142:    303 304 475 
stack 143:    312 311 425 
stack 144:    310 484 309 
stack 145:    64 56 391 
stack 146:    317 319 140 
stack 147:    325 480 367 
stack 148:    487 302 299 
stack 149:    134 130 345 
stack 150:    135 320 321 
stack 151:    80 74 412 
stack 152:    73 77 390 
stack 153:    326 464 328 
stack 154:    401 71 70 
stack 155:    204 375 374 
stack 156:    465 332 333 
stack 157:    398 83 86 
stack 158:    429 336 334 
stack 159:    349 442 347 
stack 160:    205 366 371 
stack 161:    124 125 418 
stack 162:    402 87 89 
stack 163:    483 219 220 
stack 164:    338 339 443 
stack 165:    414 108 109 
stack 166:    388 90 346 
stack 167:    432 72 344 
stack 168:    97 94 400 
stack 169:    216 411 96 
stack 170:    352 224 218 
stack 171:    351 217 189 
stack 172:    399 98 99 
stack 173:    368 324 190 
stack 174:    362 182 364 
stack 175:    173 461 170 
stack 176:    106 406 107 
stack 177:    188 353 350 
stack 178:    105 104 410 
stack 179:    359 210 211 
stack 180:    184 457 185 
stack 181:    380 382 192 
stack 182:    225 479 476 
stack 183:    231 469 230 
stack 184:    142 141 422 
stack 185:    110 111 405 
stack 186:    354 358 499 
stack 187:    427 148 146 
stack 188:    196 454 193 
stack 189:    385 383 186 
stack 190:    129 424 128 
stack 191:    477 221 213 
stack 192:    416 119 117 
stack 193:    236 238 460 
stack 194:    136 431 133 
stack 195:    491 370 369 
stack 196:    179 174 455 
stack 197:    239 240 482 
stack 198:    473 178 181 
stack 199:    153 152 453 
stack 200:    490 376 372 
