solved with: SP.post_optimization_methods.LocalSearch
time limit: 2700.0 s
time to solve: 656.96 s
objective value: 211738.96

stacks (top to bottom):
stack 0:    0 
stack 1:    
stack 2:    2 
stack 3:    3 254 
stack 4:    
stack 5:    5 
stack 6:    6 7 
stack 7:    
stack 8:    
stack 9:    
stack 10:    10 
stack 11:    
stack 12:    
stack 13:    
stack 14:    14 
stack 15:    15 
stack 16:    
stack 17:    17 267 
stack 18:    
stack 19:    
stack 20:    20 
stack 21:    271 
stack 22:    22 
stack 23:    273 
stack 24:    
stack 25:    25 275 
stack 26:    27 278 31 
stack 27:    277 166 279 
stack 28:    41 467 40 
stack 29:    61 57 29 
stack 30:    194 433 189 
stack 31:    477 284 282 
stack 32:    392 106 228 
stack 33:    318 320 127 
stack 34:    472 38 34 
stack 35:    298 495 299 
stack 36:    45 470 48 
stack 37:    480 291 292 
stack 38:    71 70 384 
stack 39:    411 317 316 
stack 40:    185 302 303 
stack 41:    499 301 300 
stack 42:    69 68 371 
stack 43:    492 296 297 
stack 44:    52 50 466 
stack 45:    414 323 326 
stack 46:    375 75 74 
stack 47:    184 310 307 
stack 48:    66 67 461 
stack 49:    313 134 312 
stack 50:    377 79 78 
stack 51:    308 306 494 
stack 52:    305 304 498 
stack 53:    322 488 325 
stack 54:    338 336 397 
stack 55:    491 334 335 
stack 56:    309 311 168 
stack 57:    364 427 337 
stack 58:    443 191 193 
stack 59:    83 84 450 
stack 60:    87 88 382 
stack 61:    487 82 378 
stack 62:    225 359 226 
stack 63:    93 92 385 
stack 64:    145 416 149 
stack 65:    235 459 231 
stack 66:    210 447 209 
stack 67:    101 390 100 
stack 68:    243 463 242 
stack 69:    388 103 102 
stack 70:    402 132 133 
stack 71:    418 157 156 
stack 72:    122 120 407 
stack 73:    356 395 110 
stack 74:    119 408 118 
stack 75:    430 237 236 
stack 76:    175 177 437 
stack 77:    413 346 468 
stack 78:    150 151 350 
stack 79:    155 453 174 
stack 80:    381 357 202 
stack 81:    131 403 130 
stack 82:    363 244 367 
stack 83:    154 152 419 
stack 84:    233 227 171 
stack 85:    164 423 161 
stack 86:    457 249 248 
stack 87:    352 347 169 
stack 88:    424 165 163 
stack 89:    425 162 160 
stack 90:    245 354 108 
stack 91:    479 422 167 
stack 92:    229 230 454 
stack 93:    442 208 212 
stack 94:    140 126 406 
stack 95:    415 146 148 
stack 96:    449 217 216 
stack 97:    204 205 440 
stack 98:    368 496 369 
stack 99:    409 144 142 
stack 100:    139 147 405 
stack 101:    250 
stack 102:    1 251 
stack 103:    252 
stack 104:    253 
stack 105:    4 
stack 106:    255 
stack 107:    256 
stack 108:    257 8 
stack 109:    258 
stack 110:    259 9 
stack 111:    260 11 
stack 112:    261 
stack 113:    262 12 
stack 114:    13 
stack 115:    264 263 
stack 116:    265 
stack 117:    266 16 
stack 118:    18 
stack 119:    268 
stack 120:    19 
stack 121:    270 269 
stack 122:    
stack 123:    272 
stack 124:    23 21 
stack 125:    24 274 
stack 126:    276 
stack 127:    197 26 370 
stack 128:    44 46 28 
stack 129:    35 464 30 
stack 130:    37 475 39 
stack 131:    280 281 484 
stack 132:    285 481 283 
stack 133:    49 47 32 
stack 134:    373 33 36 
stack 135:    286 489 287 
stack 136:    458 195 376 
stack 137:    290 482 288 
stack 138:    85 289 293 
stack 139:    328 324 207 
stack 140:    43 473 42 
stack 141:    59 478 55 
stack 142:    493 294 295 
stack 143:    56 474 54 
stack 144:    471 53 51 
stack 145:    374 72 73 
stack 146:    64 476 65 
stack 147:    319 486 321 
stack 148:    314 315 141 
stack 149:    372 60 63 
stack 150:    206 327 329 
stack 151:    62 465 58 
stack 152:    172 170 429 
stack 153:    77 436 76 
stack 154:    379 81 80 
stack 155:    333 246 330 
stack 156:    426 340 342 
stack 157:    332 490 331 
stack 158:    86 89 380 
stack 159:    483 341 362 
stack 160:    90 383 91 
stack 161:    112 393 109 
stack 162:    386 99 98 
stack 163:    128 401 129 
stack 164:    182 432 173 
stack 165:    198 438 199 
stack 166:    201 435 200 
stack 167:    94 95 387 
stack 168:    420 431 153 
stack 169:    181 178 428 
stack 170:    113 391 111 
stack 171:    240 241 456 
stack 172:    211 446 213 
stack 173:    190 462 187 
stack 174:    239 238 460 
stack 175:    404 121 123 
stack 176:    124 398 125 
stack 177:    399 115 114 
stack 178:    396 345 343 
stack 179:    469 349 348 
stack 180:    439 192 196 
stack 181:    417 176 180 
stack 182:    215 214 455 
stack 183:    339 344 247 
stack 184:    218 444 219 
stack 185:    136 137 410 
stack 186:    351 135 353 
stack 187:    159 421 158 
stack 188:    220 221 445 
stack 189:    203 358 355 
stack 190:    400 117 116 
stack 191:    143 138 412 
stack 192:    183 179 434 
stack 193:    452 234 232 
stack 194:    105 394 104 
stack 195:    188 441 186 
stack 196:    97 96 389 
stack 197:    366 365 497 
stack 198:    451 222 223 
stack 199:    485 360 361 
stack 200:    448 224 107 
