solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 444.90 s
objective value: 255986.64

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    3 
stack 4:    4 
stack 5:    255 
stack 6:    256 
stack 7:    7 
stack 8:    258 
stack 9:    9 
stack 10:    10 
stack 11:    
stack 12:    262 
stack 13:    13 
stack 14:    
stack 15:    
stack 16:    
stack 17:    284 155 17 493 
stack 18:    28 377 272 268 
stack 19:    461 383 435 27 
stack 20:    277 395 20 275 
stack 21:    271 137 195 118 
stack 22:    273 130 285 360 
stack 23:    33 23 274 475 
stack 24:    159 452 36 136 
stack 25:    389 346 46 322 
stack 26:    276 279 281 113 
stack 27:    413 90 48 52 
stack 28:    47 193 41 305 
stack 29:    164 292 51 129 
stack 30:    298 30 44 194 
stack 31:    430 50 311 300 
stack 32:    153 181 58 466 
stack 33:    86 158 283 217 
stack 34:    35 299 81 291 
stack 35:    105 306 335 213 
stack 36:    104 39 133 82 
stack 37:    453 215 470 225 
stack 38:    463 38 296 89 
stack 39:    478 397 290 438 
stack 40:    88 294 321 356 
stack 41:    231 318 325 223 
stack 42:    75 422 170 150 
stack 43:    398 473 204 196 
stack 44:    74 415 436 64 
stack 45:    69 392 462 467 
stack 46:    375 390 107 172 
stack 47:    120 431 460 244 
stack 48:    326 440 248 409 
stack 49:    101 157 380 371 
stack 50:    234 77 162 109 
stack 51:    385 116 108 87 
stack 52:    491 331 163 437 
stack 53:    197 249 61 79 
stack 54:    209 141 424 131 
stack 55:    339 443 72 307 
stack 56:    214 180 174 400 
stack 57:    310 59 99 391 
stack 58:    94 178 469 143 
stack 59:    352 358 357 488 
stack 60:    387 182 139 192 
stack 61:    219 477 472 465 
stack 62:    386 411 340 246 
stack 63:    165 348 202 238 
stack 64:    147 207 67 434 
stack 65:    432 450 199 490 
stack 66:    166 156 317 468 
stack 67:    464 332 95 344 
stack 68:    480 188 372 100 
stack 69:    169 355 115 227 
stack 70:    393 323 241 152 
stack 71:    330 179 187 363 
stack 72:    85 232 388 410 
stack 73:    351 420 183 378 
stack 74:    333 122 175 338 
stack 75:    0 250 
stack 76:    251 1 
stack 77:    2 252 
stack 78:    253 
stack 79:    254 
stack 80:    5 
stack 81:    6 
stack 82:    257 
stack 83:    8 259 
stack 84:    
stack 85:    260 
stack 86:    11 
stack 87:    261 12 
stack 88:    263 
stack 89:    264 14 
stack 90:    265 15 
stack 91:    18 266 16 370 
stack 92:    70 29 26 267 
stack 93:    24 191 96 269 
stack 94:    19 439 287 280 
stack 95:    303 401 270 368 
stack 96:    22 376 21 154 
stack 97:    42 282 278 297 
stack 98:    308 286 53 448 
stack 99:    216 43 49 293 
stack 100:    25 229 304 499 
stack 101:    168 60 34 288 
stack 102:    134 121 476 31 
stack 103:    160 184 45 456 
stack 104:    62 161 106 198 
stack 105:    498 125 40 57 
stack 106:    221 429 449 37 
stack 107:    32 361 426 312 
stack 108:    78 56 479 425 
stack 109:    341 342 369 124 
stack 110:    289 447 421 302 
stack 111:    412 189 313 495 
stack 112:    230 203 55 220 
stack 113:    93 171 457 98 
stack 114:    68 144 295 444 
stack 115:    233 245 243 63 
stack 116:    151 112 218 208 
stack 117:    408 237 126 301 
stack 118:    91 455 309 228 
stack 119:    226 127 205 117 
stack 120:    334 83 97 73 
stack 121:    210 92 404 458 
stack 122:    314 315 485 329 
stack 123:    374 211 128 190 
stack 124:    423 110 366 167 
stack 125:    350 484 433 132 
stack 126:    102 80 185 489 
stack 127:    54 482 343 114 
stack 128:    417 328 446 65 
stack 129:    445 471 140 200 
stack 130:    384 149 345 359 
stack 131:    496 396 324 103 
stack 132:    222 142 247 176 
stack 133:    66 236 212 418 
stack 134:    442 320 394 186 
stack 135:    406 451 76 497 
stack 136:    367 337 148 487 
stack 137:    414 379 146 399 
stack 138:    201 427 373 381 
stack 139:    486 441 71 145 
stack 140:    239 362 84 135 
stack 141:    403 206 336 316 
stack 142:    364 428 474 454 
stack 143:    138 319 365 481 
stack 144:    235 492 353 111 
stack 145:    382 419 119 240 
stack 146:    459 416 242 347 
stack 147:    407 173 483 354 
stack 148:    349 123 177 224 
stack 149:    402 327 494 405 
