solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 652.40 s
objective value: 256030.24

stacks (top to bottom):
stack 0:    
stack 1:    252 
stack 2:    
stack 3:    
stack 4:    4 
stack 5:    5 
stack 6:    6 
stack 7:    7 
stack 8:    258 
stack 9:    
stack 10:    
stack 11:    
stack 12:    
stack 13:    
stack 14:    
stack 15:    15 
stack 16:    266 
stack 17:    49 244 272 269 
stack 18:    35 268 421 77 
stack 19:    274 284 30 270 
stack 20:    271 379 150 275 
stack 21:    24 286 33 292 
stack 22:    25 26 22 101 
stack 23:    177 492 293 487 
stack 24:    34 290 277 301 
stack 25:    58 38 281 493 
stack 26:    306 413 44 384 
stack 27:    478 368 223 120 
stack 28:    225 199 88 294 
stack 29:    147 331 470 102 
stack 30:    208 230 189 283 
stack 31:    92 171 285 109 
stack 32:    233 187 282 50 
stack 33:    295 455 246 303 
stack 34:    468 43 416 380 
stack 35:    489 60 410 352 
stack 36:    87 47 70 48 
stack 37:    178 138 65 37 
stack 38:    296 93 181 298 
stack 39:    196 289 73 52 
stack 40:    308 94 226 358 
stack 41:    132 141 364 321 
stack 42:    142 238 353 95 
stack 43:    63 184 130 110 
stack 44:    119 57 100 99 
stack 45:    336 204 481 54 
stack 46:    318 156 430 372 
stack 47:    486 193 235 473 
stack 48:    131 89 490 338 
stack 49:    167 173 366 351 
stack 50:    317 126 154 160 
stack 51:    228 239 161 153 
stack 52:    423 174 404 463 
stack 53:    216 432 81 195 
stack 54:    56 69 363 62 
stack 55:    241 495 234 388 
stack 56:    314 190 229 333 
stack 57:    209 341 370 420 
stack 58:    445 408 67 71 
stack 59:    395 68 105 471 
stack 60:    475 146 429 402 
stack 61:    482 436 315 499 
stack 62:    371 222 376 324 
stack 63:    137 335 330 483 
stack 64:    162 231 438 201 
stack 65:    164 249 458 334 
stack 66:    169 403 203 149 
stack 67:    497 128 426 212 
stack 68:    344 325 365 447 
stack 69:    220 186 320 85 
stack 70:    439 248 477 129 
stack 71:    469 346 104 122 
stack 72:    180 433 427 349 
stack 73:    90 485 127 460 
stack 74:    106 179 373 464 
stack 75:    250 1 0 
stack 76:    251 
stack 77:    2 
stack 78:    253 3 
stack 79:    254 
stack 80:    
stack 81:    256 255 
stack 82:    257 
stack 83:    8 
stack 84:    9 259 
stack 85:    10 11 
stack 86:    260 261 
stack 87:    262 263 
stack 88:    12 13 
stack 89:    265 14 
stack 90:    16 264 
stack 91:    17 305 
stack 92:    267 279 163 27 
stack 93:    19 18 484 20 
stack 94:    61 23 474 21 
stack 95:    36 242 378 449 
stack 96:    465 188 479 273 
stack 97:    428 288 134 456 
stack 98:    39 291 437 359 
stack 99:    32 64 276 108 
stack 100:    41 197 243 339 
stack 101:    148 237 467 28 
stack 102:    29 278 337 31 
stack 103:    218 202 342 280 
stack 104:    300 448 441 139 
stack 105:    374 451 316 123 
stack 106:    42 40 158 354 
stack 107:    53 392 457 191 
stack 108:    215 454 211 440 
stack 109:    172 59 114 83 
stack 110:    381 386 488 453 
stack 111:    80 72 442 287 
stack 112:    55 415 496 405 
stack 113:    400 221 86 297 
stack 114:    310 476 45 51 
stack 115:    168 391 115 307 
stack 116:    302 145 200 304 
stack 117:    382 182 144 385 
stack 118:    450 319 446 343 
stack 119:    143 466 422 118 
stack 120:    313 377 116 46 
stack 121:    357 299 414 367 
stack 122:    480 332 327 214 
stack 123:    375 311 217 205 
stack 124:    207 390 434 236 
stack 125:    401 309 350 245 
stack 126:    170 312 185 78 
stack 127:    75 165 424 435 
stack 128:    66 111 159 213 
stack 129:    113 412 192 98 
stack 130:    157 125 121 91 
stack 131:    360 240 417 74 
stack 132:    491 459 326 340 
stack 133:    224 443 112 348 
stack 134:    362 425 472 133 
stack 135:    393 411 152 175 
stack 136:    355 383 494 227 
stack 137:    397 194 103 183 
stack 138:    462 361 155 394 
stack 139:    247 76 151 96 
stack 140:    136 232 498 322 
stack 141:    419 84 166 107 
stack 142:    97 117 452 140 
stack 143:    79 198 356 329 
stack 144:    176 135 418 323 
stack 145:    431 461 328 345 
stack 146:    407 347 399 210 
stack 147:    206 389 82 398 
stack 148:    124 219 369 409 
stack 149:    387 406 444 396 
