solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 533.78 s
objective value: 256012.14

stacks (top to bottom):
stack 0:    0 250 
stack 1:    1 
stack 2:    2 252 
stack 3:    
stack 4:    
stack 5:    5 6 
stack 6:    
stack 7:    257 
stack 8:    
stack 9:    259 
stack 10:    
stack 11:    10 
stack 12:    12 
stack 13:    13 
stack 14:    
stack 15:    
stack 16:    266 
stack 17:    267 17 18 273 
stack 18:    439 269 469 268 
stack 19:    344 281 22 433 
stack 20:    471 465 60 270 
stack 21:    177 272 24 49 
stack 22:    414 279 114 322 
stack 23:    229 27 446 185 
stack 24:    289 33 277 36 
stack 25:    103 44 76 275 
stack 26:    94 190 218 53 
stack 27:    294 37 400 61 
stack 28:    450 69 325 291 
stack 29:    172 217 141 29 
stack 30:    156 353 302 89 
stack 31:    130 166 195 292 
stack 32:    34 51 128 347 
stack 33:    46 283 135 147 
stack 34:    298 432 447 452 
stack 35:    293 309 122 42 
stack 36:    287 486 370 207 
stack 37:    359 169 338 227 
stack 38:    314 460 468 449 
stack 39:    336 459 210 83 
stack 40:    73 337 296 93 
stack 41:    157 480 383 442 
stack 42:    205 179 134 464 
stack 43:    365 331 429 461 
stack 44:    244 194 189 155 
stack 45:    430 239 389 297 
stack 46:    47 472 420 91 
stack 47:    111 164 188 316 
stack 48:    307 319 184 378 
stack 49:    318 418 249 499 
stack 50:    313 488 151 466 
stack 51:    310 475 445 145 
stack 52:    223 115 161 404 
stack 53:    66 473 329 81 
stack 54:    175 317 144 100 
stack 55:    438 148 451 379 
stack 56:    95 352 72 431 
stack 57:    443 226 160 92 
stack 58:    453 133 214 495 
stack 59:    315 444 238 435 
stack 60:    497 374 345 129 
stack 61:    324 199 62 99 
stack 62:    63 456 312 112 
stack 63:    377 416 360 125 
stack 64:    65 234 361 197 
stack 65:    467 380 409 424 
stack 66:    211 349 163 118 
stack 67:    243 354 200 201 
stack 68:    159 333 355 350 
stack 69:    75 339 407 437 
stack 70:    187 427 411 170 
stack 71:    180 479 212 340 
stack 72:    183 153 487 241 
stack 73:    231 246 139 368 
stack 74:    113 397 448 146 
stack 75:    
stack 76:    251 
stack 77:    
stack 78:    253 3 
stack 79:    254 4 
stack 80:    255 
stack 81:    
stack 82:    7 256 
stack 83:    8 258 
stack 84:    9 
stack 85:    260 
stack 86:    261 
stack 87:    262 11 
stack 88:    263 
stack 89:    264 14 
stack 90:    265 
stack 91:    28 15 20 16 
stack 92:    271 421 288 45 
stack 93:    25 351 285 126 
stack 94:    19 372 425 23 
stack 95:    395 32 215 140 
stack 96:    38 50 308 21 
stack 97:    26 278 30 413 
stack 98:    274 295 384 222 
stack 99:    127 276 290 204 
stack 100:    494 74 280 198 
stack 101:    41 406 31 282 
stack 102:    286 387 393 481 
stack 103:    85 43 386 415 
stack 104:    173 52 423 428 
stack 105:    304 48 131 206 
stack 106:    320 284 335 167 
stack 107:    77 496 303 97 
stack 108:    39 247 40 35 
stack 109:    489 305 70 220 
stack 110:    58 498 165 382 
stack 111:    376 326 107 56 
stack 112:    490 328 342 426 
stack 113:    245 176 88 105 
stack 114:    373 106 117 209 
stack 115:    398 454 236 385 
stack 116:    232 152 462 124 
stack 117:    142 116 96 237 
stack 118:    492 123 330 182 
stack 119:    235 202 68 54 
stack 120:    67 143 57 417 
stack 121:    196 299 390 90 
stack 122:    300 59 178 463 
stack 123:    408 121 392 162 
stack 124:    102 357 470 402 
stack 125:    171 375 436 55 
stack 126:    474 301 478 346 
stack 127:    311 101 242 366 
stack 128:    306 321 86 193 
stack 129:    388 136 64 455 
stack 130:    367 208 137 108 
stack 131:    362 109 79 219 
stack 132:    458 334 491 323 
stack 133:    371 110 228 369 
stack 134:    364 225 419 434 
stack 135:    403 422 477 230 
stack 136:    191 104 391 221 
stack 137:    158 154 248 399 
stack 138:    78 224 213 174 
stack 139:    82 80 120 150 
stack 140:    482 119 233 485 
stack 141:    327 412 440 483 
stack 142:    457 410 203 186 
stack 143:    381 341 363 358 
stack 144:    181 394 192 87 
stack 145:    348 71 149 476 
stack 146:    396 332 84 98 
stack 147:    132 405 401 168 
stack 148:    343 356 493 441 
stack 149:    138 484 216 240 
