instance,solver,time,val
500_150_4_00,GH,0.01,309389.5
500_150_4_00,OPT,826.44,255991.52
500_150_4_00,3Cap + TS,281.4,255991.52
500_150_4_01,GH,0.00,305177.8
500_150_4_01,OPT,1249.44,255995.14
500_150_4_01,3Cap + TS,114.61,255995.14
500_150_4_02,GH,0.00,305486.86
500_150_4_02,OPT,1503.59,256013.4
500_150_4_02,3Cap + TS,427.17,256017.02
500_150_4_03,GH,0.00,308759.26
500_150_4_03,OPT,1204.69,255990.26
500_150_4_03,3Cap + TS,389.81,256008.44
500_150_4_04,GH,0.00,305874.7
500_150_4_04,OPT,843.12,255986.64
500_150_4_04,3Cap + TS,444.9,255986.64
500_150_4_05,GH,0.00,306383.74
500_150_4_05,OPT,875.51,256000.02
500_150_4_05,3Cap + TS,723.19,256002.46
500_150_4_06,GH,0.00,307068.52
500_150_4_06,OPT,738.57,255992.7
500_150_4_06,3Cap + TS,112.19,255992.7
500_150_4_07,GH,0.00,303244.66
500_150_4_07,OPT,876.92,255989.08
500_150_4_07,3Cap + TS,439.4,255995.14
500_150_4_08,GH,0.00,305177.8
500_150_4_08,OPT,752.01,256029.06
500_150_4_08,3Cap + TS,652.4,256030.24
500_150_4_09,GH,0.00,306735.22
500_150_4_09,OPT,791.11,256009.7
500_150_4_09,3Cap + TS,107.18,256009.7
500_150_4_10,GH,0.00,304917.22
500_150_4_10,OPT,1077.58,256033.94
500_150_4_10,3Cap + TS,480.23,256036.38
500_150_4_11,GH,0.00,307571.5
500_150_4_11,OPT,1343.83,255975.7
500_150_4_11,3Cap + TS,799.92,255978.14
500_150_4_12,GH,0.00,305911.06
500_150_4_12,OPT,887.1,255995.14
500_150_4_12,3Cap + TS,446.54,256009.7
500_150_4_13,GH,0.00,306898.84
500_150_4_13,OPT,1203.62,255997.58
500_150_4_13,3Cap + TS,93.63,255997.58
500_150_4_14,GH,0.00,308238.1
500_150_4_14,OPT,754.86,256009.7
500_150_4_14,3Cap + TS,112.69,256009.7
500_150_4_15,GH,0.00,305929.24
500_150_4_15,OPT,661.41,255993.88
500_150_4_15,3Cap + TS,496.42,255998.76
500_150_4_16,GH,0.00,309716.74
500_150_4_16,OPT,1073.11,256013.24
500_150_4_16,3Cap + TS,501.31,256015.68
500_150_4_17,GH,0.00,306953.38
500_150_4_17,OPT,1059.65,255986.64
500_150_4_17,3Cap + TS,118.12,255986.64
500_150_4_18,GH,0.00,307444.24
500_150_4_18,OPT,701.57,256012.14
500_150_4_18,3Cap + TS,533.78,256012.14
500_150_4_19,GH,0.00,306159.52
500_150_4_19,OPT,738.31,256020.64
500_150_4_19,3Cap + TS,518.86,256029.14
