solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 10.38 s
objective value: 287387.2

stacks (top to bottom):
stack 0:    
stack 1:    
stack 2:    
stack 3:    
stack 4:    
stack 5:    
stack 6:    
stack 7:    
stack 8:    
stack 9:    385 
stack 10:    352 82 
stack 11:    167 206 283 312 258 
stack 12:    371 121 384 247 251 
stack 13:    430 321 241 254 414 
stack 14:    257 25 16 151 185 
stack 15:    280 327 173 450 15 
stack 16:    51 30 65 491 260 
stack 17:    453 105 148 66 17 
stack 18:    18 145 109 436 12 
stack 19:    497 255 493 150 223 
stack 20:    212 126 20 451 129 
stack 21:    390 336 13 374 264 
stack 22:    200 406 202 4 349 
stack 23:    273 246 227 57 400 
stack 24:    266 476 294 380 362 
stack 25:    268 224 298 408 445 
stack 26:    253 322 434 133 354 
stack 27:    412 271 278 462 104 
stack 28:    172 94 27 281 208 
stack 29:    277 181 193 210 433 
stack 30:    28 341 113 379 43 
stack 31:    31 73 102 69 209 
stack 32:    34 346 373 242 122 
stack 33:    107 198 225 33 
stack 34:    228 355 180 392 275 
stack 35:    240 284 343 289 398 
stack 36:    249 286 474 478 363 
stack 37:    337 318 62 37 38 
stack 38:    339 424 461 356 36 
stack 39:    112 288 45 494 422 
stack 40:    214 376 154 135 291 
stack 41:    142 292 472 231 345 
stack 42:    183 46 60 115 
stack 43:    306 367 245 418 155 
stack 44:    370 402 189 118 237 
stack 45:    464 120 161 86 166 
stack 46:    130 492 377 317 287 
stack 47:    211 481 134 487 165 
stack 48:    213 415 489 207 326 
stack 49:    179 140 144 397 301 
stack 50:    473 58 84 357 194 
stack 51:    409 178 304 308 324 
stack 52:    344 116 139 389 498 
stack 53:    238 325 123 431 152 
stack 54:    132 162 239 248 99 
stack 55:    333 479 72 92 176 
stack 56:    477 143 229 484 440 
stack 57:    68 71 405 81 117 
stack 58:    320 87 136 159 441 
stack 59:    187 499 106 417 127 
stack 60:    
stack 61:    
stack 62:    
stack 63:    
stack 64:    
stack 65:    
stack 66:    
stack 67:    
stack 68:    
stack 69:    361 7 381 11 90 
stack 70:    307 0 259 296 230 
stack 71:    41 91 6 226 119 
stack 72:    88 276 316 262 39 
stack 73:    111 256 393 475 170 
stack 74:    401 263 496 460 330 
stack 75:    443 469 14 64 423 
stack 76:    446 348 388 3 192 
stack 77:    10 297 95 331 485 
stack 78:    78 19 93 70 269 
stack 79:    252 458 174 186 457 
stack 80:    190 9 310 164 80 
stack 81:    204 261 56 55 44 
stack 82:    24 149 482 265 279 
stack 83:    235 468 250 383 169 
stack 84:    323 218 184 23 76 
stack 85:    5 399 495 416 42 
stack 86:    365 110 182 203 2 
stack 87:    153 358 8 157 295 
stack 88:    382 455 26 334 375 
stack 89:    274 220 442 32 160 
stack 90:    141 267 158 314 438 
stack 91:    163 360 421 59 22 
stack 92:    282 483 233 96 114 
stack 93:    300 411 124 35 471 
stack 94:    407 29 243 403 125 
stack 95:    1 98 427 79 386 
stack 96:    439 21 395 199 313 
stack 97:    272 328 447 50 74 
stack 98:    216 342 137 467 270 
stack 99:    285 426 89 387 366 
stack 100:    364 188 40 480 236 
stack 101:    404 222 290 49 85 
stack 102:    351 108 48 394 67 
stack 103:    52 138 97 338 
stack 104:    128 332 61 168 293 
stack 105:    47 63 156 53 201 
stack 106:    459 299 309 191 369 
stack 107:    454 221 372 347 396 
stack 108:    303 177 456 196 465 
stack 109:    100 448 486 470 449 
stack 110:    175 432 444 54 466 
stack 111:    205 103 429 302 195 
stack 112:    329 315 463 350 171 
stack 113:    419 83 410 368 435 
stack 114:    217 340 311 488 490 
stack 115:    391 131 75 305 335 
stack 116:    420 234 232 319 359 
stack 117:    147 101 413 353 197 
stack 118:    437 378 77 452 146 
stack 119:    215 244 428 219 425 
